267058550,815867043,899683579
388155241,773111881,833523676
527210532,715804572,749375247
553458491,693183808,749112129
205437284,314282302,515111873,635325627
273881,90024170,926509927,974083809
5969467,62622238,938864215,972501576
10309146,121449557,907889722,957567427
46657026,74930784,913442868,954481195
56724914,357915090,767660199,797429306
63530088,185489096,800199097,944605364
101185644,176750242,797645767,903722549
154649474,203995979,766084831,864079663
160545433,579491364,611452932,645885730
205833528,487195041,632147771,673570427
207659617,273437577,676860803,835595245
212854333,260479787,576066437,949970768
219390769,403857021,639442135,734837444
231779694,440342565,516438491,796948325
259491019,417445747,528065248,791760900
268182749,391796692,571811436,759585529
297688535,341111629,541634076,810987938
319428814,476691087,590253108,605239550
327640335,451293411,488199413,719925630
399513040,437313477,464273198,692231696
407585305,440670104,556848802,589635634
