56724914,259491019,800199097,899683579,974083809
62622238,205833528,810987938,903722549,972501576
63530088,207659617,815867043,907889722,957567427
74930784,212854333,833523676,913442868,954481195
154649474,605239550,673570427,734837444,773111881
160545433,611452932,676860803,749112129,791760900
176750242,576066437,692231696,749375247,796948325
205437284,590253108,645885730,719925630,767660199
273881,5969467,10309146,314282302,319428814,399513040
46657026,451293411,488199413,527210532,632147771,766084831
90024170,185489096,219390769,579491364,926509927,949970768
101185644,203995979,231779694,541634076,938864215,944605364
121449557,403857021,464273198,528065248,639442135,759585529
260479787,327640335,407585305,553458491,693183808,715804572
267058550,341111629,440342565,515111873,556848802,864079663
268182749,391796692,440670104,516438491,571811436,797429306
273437577,357915090,417445747,476691087,635325627,835595245
297688535,388155241,437313477,487195041,589635634,797645767
