681,819
44,976,980
70,965,965
250,871,879
331,763,906
365,817,818
506,731,763
2,226,865,907
2,283,851,864
3,138,869,990
4,222,830,944
5,463,764,768
6,125,930,939
6,578,617,799
7,334,751,908
7,426,700,867
7,597,668,728
8,139,905,948
8,259,824,909
9,206,826,959
10,41,972,977
11,449,593,947
12,36,972,980
14,482,651,853
15,158,834,993
16,454,709,821
18,574,578,830
19,597,689,695
20,282,798,900
21,263,836,880
21,511,584,884
23,395,786,796
24,464,654,858
25,361,751,863
26,127,863,984
26,174,807,993
28,552,641,779
30,214,790,966
30,330,757,883
31,181,806,982
31,276,813,880
31,556,628,785
34,599,680,687
35,276,719,970
35,473,657,835
36,278,753,933
36,544,555,865
40,361,769,830
41,93,914,952
41,321,738,900
41,508,594,857
42,228,802,928
42,283,728,947
42,515,682,761
46,218,762,974
47,292,747,914
47,302,820,831
47,397,666,890
48,493,689,770
48,517,692,743
49,336,724,891
50,139,836,975
51,527,555,867
52,343,681,924
52,521,647,780
54,216,776,954
54,507,677,762
59,168,818,955
60,472,560,908
61,359,633,947
61,400,585,954
62,200,789,949
64,167,777,992
64,376,585,975
66,271,758,905
67,420,723,790
69,373,610,948
69,547,579,805
71,204,814,911
73,162,848,917
73,577,648,702
74,251,834,841
74,355,708,863
78,554,651,717
79,122,855,944
83,428,496,993
83,458,531,928
84,214,787,915
84,223,736,957
85,243,772,900
86,399,526,989
88,280,650,982
92,429,654,825
93,266,695,946
94,291,762,853
94,295,772,839
94,377,580,949
95,381,715,809
96,452,516,936
96,458,562,884
97,214,838,851
97,372,594,937
97,546,649,708
98,541,631,730
99,355,667,879
99,452,460,989
100,493,695,712
105,245,737,913
105,449,697,749
105,517,568,810
110,453,477,960
111,366,698,825
111,435,586,868
113,338,611,938
115,374,586,925
119,186,789,906
120,243,814,823
123,302,632,943
123,369,735,773
124,181,751,944
124,488,536,852
125,306,735,834
127,485,619,769
128,221,690,961
129,445,478,948
130,268,705,897
130,362,549,959
130,506,626,738
132,459,460,949
133,379,632,856
139,381,525,955
139,467,532,862
142,428,572,858
143,147,855,855
143,380,709,768
144,418,478,960
144,502,580,774
147,300,721,832
147,507,519,827
148,238,664,950
148,319,708,825
148,392,556,904
149,358,599,894
150,399,633,818
150,479,526,845
151,216,709,924
152,223,626,999
157,482,608,753
159,334,688,819
163,278,661,898
165,237,618,980
166,347,736,751
168,480,668,684
169,374,519,938
170,276,776,778
170,519,577,734
174,284,744,798
174,409,446,971
175,390,525,910
175,481,610,734
179,261,659,901
180,251,646,923
181,236,703,880
181,492,507,820
185,219,791,805
186,356,466,992
187,225,748,840
188,360,565,887
190,329,602,879
190,348,655,807
190,354,550,906
190,402,587,821
192,273,749,786
196,353,624,827
196,421,537,846
197,409,567,827
198,255,646,901
199,389,530,882
199,505,636,660
202,411,419,968
203,302,563,932
207,394,402,997
208,393,504,895
210,305,593,892
210,502,573,715
211,489,556,744
213,233,670,884
220,326,489,965
221,342,459,978
223,286,552,939
223,311,703,763
226,539,617,618
227,391,650,732
228,368,425,979
230,265,740,765
230,384,658,728
233,408,619,740
236,369,438,957
236,455,618,691
239,336,434,991
241,306,567,886
242,411,559,788
244,474,625,657
246,312,506,936
247,269,729,755
248,412,543,797
249,432,552,767
257,401,522,820
258,392,539,811
259,336,561,844
262,355,497,886
262,449,455,834
262,462,549,727
264,509,537,690
266,462,634,638
272,322,426,980
274,434,644,648
276,484,614,626
280,280,460,980
281,291,494,934
281,368,616,735
283,375,562,780
285,332,484,899
287,323,554,836
287,377,432,904
290,352,372,986
291,421,624,664
294,346,522,838
297,326,669,708
298,335,665,702
301,402,426,871
307,449,514,730
308,380,577,735
313,386,493,808
315,387,610,688
315,417,532,736
319,400,637,644
320,331,651,698
321,388,641,650
330,469,501,700
331,348,642,679
334,419,450,797
339,423,547,691
340,348,645,667
344,395,621,640
351,394,448,807
371,432,468,729
382,523,539,556
383,407,414,796
391,392,444,773
407,446,569,578
430,433,549,588
