824,997,999
908,955,957
925,946,949
933,939,948
67,879,908,966
88,856,928,948
98,858,884,980
128,892,894,906
147,709,980,984
162,762,947,949
186,863,867,904
208,682,965,965
214,763,863,980
257,853,855,855
312,836,836,836
336,608,928,948
401,805,807,807
489,751,770,810
695,708,708,709
2,320,830,834,834
8,348,580,909,975
21,358,573,914,954
46,259,654,901,960
47,302,599,936,936
47,556,715,751,751
61,628,668,731,732
62,83,123,493,779
70,359,796,797,798
123,159,807,808,923
139,514,669,735,763
142,266,539,924,949
163,433,610,734,880
168,449,645,728,830
170,459,578,744,869
181,449,541,657,992
190,506,537,789,798
204,382,626,665,943
206,565,633,687,729
220,315,460,910,915
228,280,640,728,944
241,356,651,776,796
249,641,642,644,644
265,322,688,690,855
281,335,734,735,735
301,376,561,785,797
315,374,555,632,944
319,419,559,689,834
334,614,617,617,638
338,355,485,821,821
388,556,593,626,657
473,482,578,641,646
2,150,418,493,851,906
3,175,368,577,717,980
4,9,502,556,790,959
5,297,392,474,748,904
6,6,400,467,965,976
7,40,492,646,697,938
7,54,266,764,839,890
7,95,383,588,773,974
8,148,377,650,818,819
10,158,202,736,776,938
11,334,494,543,700,738
12,264,445,484,788,827
14,19,227,769,805,986
15,233,323,586,831,832
16,207,562,610,616,809
18,262,321,489,758,972
20,30,282,729,846,913
21,223,300,597,827,852
23,47,446,619,703,982
24,261,511,624,632,768
25,66,348,597,879,905
26,274,435,550,560,975
26,375,428,454,763,774
28,180,429,648,648,887
30,421,466,526,654,723
31,36,577,700,736,740
31,238,330,549,777,895
31,255,402,453,826,853
34,302,386,618,618,862
35,60,526,636,692,871
35,283,446,509,661,886
36,276,411,460,818,819
36,298,347,369,823,947
41,168,291,409,950,961
41,223,280,555,769,952
41,294,519,530,537,899
41,387,432,502,587,871
42,74,515,554,681,954
42,79,391,484,900,924
42,143,361,507,835,932
44,111,311,536,858,960
48,130,402,496,789,955
48,283,331,698,698,762
49,196,214,517,865,979
50,339,360,599,735,737
51,226,400,691,691,761
52,139,549,552,621,907
52,230,285,637,677,939
54,129,144,825,830,838
59,92,228,813,814,814
61,166,342,569,825,857
64,175,373,411,867,930
64,251,449,593,618,845
69,78,366,549,844,914
69,105,219,787,820,820
71,280,307,506,712,944
73,130,225,407,992,993
73,200,302,658,703,884
74,147,190,539,898,972
83,130,399,659,743,806
84,214,245,610,708,959
84,271,412,497,574,982
85,468,507,516,580,664
86,186,321,666,736,825
93,213,381,626,721,786
93,330,432,506,522,937
94,105,138,647,879,957
94,291,313,689,705,728
94,352,478,501,568,827
96,143,174,421,993,993
96,278,438,444,594,970
97,132,148,740,817,886
97,243,295,428,851,906
97,290,426,547,695,765
99,167,525,525,527,977
99,286,331,625,631,848
100,278,334,340,868,900
105,236,306,423,772,978
110,368,394,552,585,811
111,326,389,419,670,905
113,269,355,365,818,900
115,150,393,462,820,880
119,139,351,493,838,880
120,283,326,344,767,980
122,218,450,572,668,790
124,179,244,624,786,863
124,221,399,547,749,780
125,276,331,544,753,791
125,329,469,563,579,755
127,192,381,472,680,968
127,223,408,651,660,751
133,157,272,567,757,934
139,372,458,504,567,780
144,181,203,702,749,841
147,197,239,708,727,802
148,152,522,664,667,667
149,292,380,392,690,917
151,250,407,480,585,947
165,236,369,633,655,762
169,287,377,458,539,990
170,216,353,482,702,897
174,263,521,594,619,649
174,362,402,414,477,991
181,223,273,430,724,989
181,242,319,394,773,911
185,336,519,519,611,650
187,188,308,650,709,778
190,210,355,578,586,901
190,258,343,448,747,834
196,417,452,508,517,730
198,211,372,455,744,840
199,210,455,584,634,738
199,268,379,478,507,989
216,236,374,459,651,884
221,247,281,523,577,971
222,226,262,336,883,891
230,284,391,449,602,864
233,371,409,532,556,719
237,426,426,432,434,865
243,392,395,505,532,753
246,354,361,463,681,715
248,305,332,479,688,768
251,346,425,464,562,772
259,276,420,452,531,882
262,348,380,546,554,730
276,287,434,460,679,684
291,390,397,462,481,799
306,384,395,488,552,695
