74,991,992,993
79,989,989,993
100,980,980,990
110,980,980,980
111,976,977,986
122,974,975,979
152,961,965,972
174,957,959,960
206,947,948,949
236,937,938,939
247,933,934,936
268,924,928,930
331,906,906,907
346,900,900,904
353,898,899,900
387,886,886,891
402,880,884,884
421,871,879,879
462,862,863,863
496,851,851,852
572,825,826,827
619,807,810,814
649,797,799,805
661,796,796,797
679,790,790,791
747,765,768,770
748,764,769,769
761,763,763,763
51,560,780,827,832
69,94,957,959,971
78,147,887,966,972
84,648,772,773,773
92,478,506,982,992
139,344,762,901,904
139,554,691,830,836
147,578,684,788,853
181,257,703,954,955
188,477,670,857,858
192,432,806,807,813
199,389,565,948,949
213,377,569,944,947
218,708,708,708,708
221,546,743,768,772
237,446,493,936,938
244,388,757,827,834
273,301,616,928,932
276,644,709,709,712
285,458,579,863,865
352,568,599,625,906
391,664,664,665,666
411,414,466,879,880
482,641,641,642,644
532,626,626,633,633
2,283,519,632,805,809
2,376,446,493,865,868
5,41,223,819,978,984
6,458,502,521,777,786
8,219,428,507,944,944
35,306,488,580,820,821
41,338,489,594,735,853
59,99,315,762,818,997
61,223,362,593,818,993
62,105,377,834,834,838
70,196,295,585,949,955
74,505,617,618,618,618
85,210,525,549,840,841
113,373,506,532,691,835
123,147,393,577,845,965
124,331,384,539,836,836
125,262,467,730,730,736
129,356,368,728,734,735
144,148,479,580,802,897
151,159,169,749,908,914
158,402,423,554,751,762
168,419,478,657,659,669
216,236,401,648,667,882
223,425,453,645,650,654
233,379,380,506,774,778
255,335,409,448,689,914
292,359,434,651,654,660
432,522,522,523,525,526
3,73,348,504,578,758,786
4,223,236,238,727,776,846
6,31,149,484,563,908,909
7,88,208,541,650,655,901
7,132,207,426,728,732,818
7,222,233,374,469,834,911
8,98,308,355,375,946,960
9,168,381,420,454,787,831
10,12,19,21,28,61,99
11,248,306,369,511,798,807
14,54,408,464,632,640,838
15,138,250,315,578,830,924
16,400,426,515,552,555,586
18,54,251,562,698,700,767
20,380,402,482,549,550,667
21,297,321,383,527,611,890
23,348,351,368,428,753,779
24,261,283,347,407,776,952
25,230,246,320,593,721,915
26,36,245,278,587,913,965
26,298,340,508,509,682,687
30,331,361,429,474,586,839
30,332,343,507,597,617,624
31,84,190,294,494,975,982
31,94,115,567,690,698,855
34,35,276,480,584,820,821
36,46,361,530,562,690,825
36,124,291,481,555,646,917
40,143,307,390,668,751,751
41,93,269,434,737,738,738
41,186,225,392,702,715,789
42,64,187,198,820,855,884
42,128,163,552,614,668,883
42,162,265,319,634,703,925
44,272,330,355,450,751,848
47,180,203,395,651,744,830
47,185,274,421,599,735,789
47,300,321,336,544,646,856
48,64,105,196,719,950,968
48,66,190,573,594,735,844
49,258,330,459,531,543,880
50,150,489,492,493,507,869
52,95,123,485,501,855,939
52,220,311,312,715,717,723
60,96,210,354,658,814,858
67,69,302,374,619,808,811
71,83,280,392,740,740,744
73,216,226,409,559,657,910
83,130,266,400,624,728,819
86,166,190,242,556,905,905
93,94,394,452,549,688,780
96,150,323,386,394,753,948
97,157,305,418,556,574,943
97,167,243,369,539,636,999
97,358,449,526,536,537,547
105,119,228,411,539,823,825
111,199,460,502,519,628,631
120,175,366,472,610,610,697
125,170,283,468,637,638,729
127,130,221,334,452,892,894
127,174,280,290,445,867,867
130,226,355,432,514,688,705
133,139,271,444,597,602,864
139,284,342,455,484,610,736
142,170,348,360,412,695,923
143,190,259,449,647,681,681
144,281,460,460,556,561,588
148,181,243,399,689,695,695
148,264,280,334,397,680,947
165,214,399,438,459,577,798
174,329,430,433,463,497,724
175,291,322,473,516,537,736
179,200,287,426,552,677,729
181,227,336,365,547,577,817
181,326,339,517,517,519,651
186,282,371,395,407,585,824
197,214,287,392,567,608,785
202,263,266,372,621,626,700
204,228,241,276,650,702,749
211,262,276,382,455,709,755
214,239,262,278,291,871,895
230,281,313,372,435,449,970
249,286,334,391,417,419,954
251,259,381,449,462,556,692
302,302,319,326,336,731,734
