8444,9844
8461,9827
8634,9654
8654,9634
8957,9331
9027,9261
4,8302,9982
43,8253,9992
50,8339,9899
57,8245,9986
113,8259,9916
121,8329,9838
156,8159,9973
239,8377,9672
253,8283,9752
296,8344,9648
314,8278,9696
318,8161,9809
322,8289,9677
350,8423,9515
413,8175,9700
474,8503,9311
493,8131,9664
496,8409,9383
503,8412,9373
538,8088,9662
669,8058,9561
689,8061,9538
694,8394,9200
732,8463,9093
753,8149,9386
763,7538,9987
779,8386,9123
869,8009,9410
882,8519,8887
900,8046,9342
928,7989,9371
961,7862,9465
1061,7912,9315
1072,7997,9219
1088,8555,8645
1090,7882,9316
1093,8385,8810
1094,7790,9404
1200,7112,9976
1282,7830,9176
1425,7763,9100
1493,7752,9043
1496,7708,9084
1503,7739,9046
1574,6814,9900
1704,7689,8895
1889,7600,8799
1892,7526,8870
1924,7673,8691
1929,7684,8675
1978,7682,8628
2030,7522,8736
2116,7407,8765
2131,7543,8614
2650,7551,8087
2843,7133,8312
3035,6847,8406
3152,6812,8324
3674,6515,8099
3783,6186,7640
3969,6484,7835
4146,7069,7073
4675,5699,7914
4928,5853,7507
4935,6676,6677
4976,6651,6661
5402,5413,7473
6013,6135,6140
1,1533,6873,9881
75,3404,6666,8143
111,229,8211,9737
116,129,8231,9812
117,2606,5624,9941
119,1938,8049,8182
120,3084,6816,8268
171,2722,7108,8287
189,1543,6755,9801
199,1323,7573,9193
236,251,8109,9692
246,2544,7327,8171
288,420,7934,9646
293,3535,6134,8326
295,1132,7082,9779
326,2705,7097,8160
328,382,7943,9635
369,422,7906,9591
400,434,7937,9517
436,1358,6785,9709
449,2406,5686,9747
450,3754,4649,9435
462,4391,5365,8070
481,675,7839,9293
507,3792,6385,7604
512,3252,5438,9086
520,3446,5845,8477
530,556,7844,9358
575,2799,6811,8103
597,3576,4511,9604
600,4651,4727,8310
634,3194,6743,7717
642,1470,7010,9166
647,4901,4907,7833
686,2899,6154,8549
692,3080,6161,8355
704,4784,4785,8015
749,2210,5704,9625
752,3838,5802,7896
756,825,7721,8986
777,3260,3423,8230
789,3600,6197,7702
793,3073,6024,8398
806,1085,7348,9049
823,3816,6404,7245
831,5040,5836,6581
837,1485,7308,8658
839,1243,7217,8989
845,862,7617,8964
863,2583,6405,8437
910,922,7493,8963
926,1114,7431,8817
930,958,7488,8912
953,966,7500,8869
979,1065,7463,8781
980,2354,7425,7529
1004,1030,7404,8850
1014,1738,6768,8768
1042,3948,4524,8774
1057,3656,4207,9368
1103,1363,7093,8729
1104,2321,6337,8526
1112,3010,6772,7394
1119,2775,5727,8667
1143,3085,4189,9871
1148,1223,7378,8539
1149,2604,7247,7288
1161,1237,7343,8547
1167,1699,6157,9265
1178,3293,6906,6911
1203,3561,4202,9322
1204,2432,5333,9319
1215,4198,4272,8603
1261,1272,7065,8690
1283,3154,6921,6930
1292,2709,7140,7147
1303,4885,4896,7204
1314,3821,6206,6947
1315,1741,6212,9020
1330,1560,6539,8859
1336,4386,4602,7811
1341,1962,7310,7675
1343,3390,6775,6780
1347,2898,7020,7023
1348,2567,4543,9830
1361,2933,6992,7002
1369,3305,6324,7290
1399,3101,6893,6895
1407,3774,6549,6558
1419,3444,6707,6718
1479,3335,6127,7347
1480,3281,6573,6954
1498,2480,7148,7162
1508,2726,7026,7028
1511,1879,6093,8805
1521,2788,4884,9095
1525,4156,6301,6306
1527,3277,4008,9476
