1999,2409,4135
3260,9889,9976
3531,9756,9838
3535,9709,9881
3612,9669,9844
3674,9672,9779
3783,9646,9696
6385,8355,8385
6772,8171,8182
7473,7790,7862
43,5211,8070,9801
295,6140,8015,8675
474,5349,8109,9193
520,5683,7288,9634
575,4870,7739,9941
704,5026,8438,8957
752,3838,9100,9435
779,5631,8329,8386
928,5333,7205,9659
930,7140,7290,7765
966,7310,7327,7522
1065,3699,8896,9465
1090,5802,7459,8774
1149,4511,8729,8736
1363,3515,8869,9378
1419,4951,7896,8859
1480,4884,8324,8437
1496,5968,6893,8768
1598,5126,7882,8519
1605,4219,7763,9538
1699,6093,6157,9176
1857,4260,7493,9515
1929,1983,9342,9871
1986,3778,8268,9093
2005,6127,6581,8412
2030,5635,6661,8799
2085,5685,6697,8658
2135,4993,6911,9086
2365,4784,7348,8628
2426,4125,8230,8344
2576,6258,6435,7856
2581,4524,7034,8986
2604,3681,8099,8741
2623,4543,6212,9747
2717,5845,7020,7543
2795,4198,6816,9316
2843,3379,7073,9830
3144,3630,6539,9812
3154,3242,8214,8515
3265,4754,7097,8009
3300,5123,7062,7640
3423,4592,7247,7863
3513,5853,6186,7573
3600,3886,5991,9648
3651,4999,6222,8253
3850,5545,6353,7377
3969,4727,5402,9027
4058,4651,4679,9737
4160,5047,6234,7684
4182,4208,5543,9192
1,293,4445,8394,9992
4,2389,5040,6324,9368
50,1962,4885,7133,9095
57,686,6449,7394,8539
75,2741,4189,6495,9625
111,2933,4744,7507,7830
113,1879,3035,8289,9809
116,926,3629,9123,9331
117,4860,5056,6162,6930
119,600,4668,8423,9315
120,4453,5158,6651,6743
121,806,3523,9084,9591
129,4386,4822,6250,7538
156,2299,4064,7387,9219
171,189,6847,7023,8895
199,1903,4602,7689,8732
229,2567,4337,7529,8463
236,2606,4196,6683,9404
239,2400,4783,7013,8690
246,2957,4854,7010,8058
251,1119,6098,7108,8549
253,2515,4008,6873,9476
288,647,7112,7245,7833
296,3073,4207,7488,8061
314,2912,3037,6972,9890
318,3085,4272,5786,9664
322,1595,2321,8987,9900
326,4159,4935,6154,7551
328,1094,5636,7906,8161
350,1243,2632,9265,9635
369,1722,4779,7943,8312
382,1902,5624,7600,7617
400,732,2639,9662,9692
413,1314,6253,7058,8087
420,2083,4344,8103,8175
422,3281,5180,5836,8406
434,2775,5060,7425,7431
436,1369,5912,6947,8461
449,1503,2832,9141,9200
450,1947,3305,8377,9046
462,753,6078,6812,9020
481,1057,1861,9827,9899
493,2279,5039,7069,8245
496,1112,4015,8739,8763
503,3010,3252,8149,8211
507,3084,4478,5795,9261
512,2018,6081,6383,8131
530,2861,5639,5686,8409
538,1994,3097,8691,8805
556,3061,3404,6500,9604
597,2330,2799,7989,9410
634,3333,3759,6041,9358
642,2496,2651,8287,9049
669,689,6400,7028,8339
675,1543,2274,9311,9322
692,1425,5170,7204,8634
694,1200,1741,9517,9973
749,1674,1675,9373,9654
756,2415,6024,6783,7147
763,1863,1889,9291,9319
777,3216,3248,6718,9166
789,1261,6235,6906,7934
793,1688,4681,7914,8049
823,2172,4976,7217,7937
825,1103,6360,7337,7500
831,3390,4896,6982,7026
837,2914,3948,7148,8278
839,1856,3533,7844,9053
845,1938,4671,6707,8964
862,1104,5619,6775,8765
863,3774,4712,4813,8963
869,2518,4907,5460,9371
882,1690,5270,6404,8879
900,2097,3219,7997,8912
910,4362,4801,6297,6755
922,2898,5711,6484,7110
953,1892,5070,5408,9802
958,2600,3700,6342,9525
961,3192,3278,7463,8231
979,3362,3656,7407,7721
980,1114,3817,8547,8667
1004,1974,3272,8398,8477
1014,1840,2143,8887,9241
1030,1511,4901,7637,8046
1042,2480,4156,5461,9986
1061,2487,4391,6405,8781
1072,4036,5174,5761,7082
1085,3399,3614,6768,8259
1088,1303,5704,6510,8520
1093,2645,5938,6141,7308
1132,2588,4171,7526,7708
1143,3792,4958,5559,7673
1148,3040,4101,7347,7489
1161,1521,6676,6677,7090
1167,3152,4345,6301,8160
1178,2406,4555,5376,9610
1203,2646,5596,6785,6895
1204,2432,4032,6071,9386
1215,1567,4092,8092,8159
1223,4634,4736,4928,7604
1237,2280,2939,6992,9677
1272,3576,3816,6549,7912
1282,2128,4202,7702,7811
1283,2223,5500,5544,8575
1292,1479,5099,6811,8444
1315,3966,4824,6206,6814
1323,3701,5365,6070,6666
1330,1613,4969,7378,7835
1336,2793,3754,6197,9045
1341,2650,5413,5438,8283
1343,2757,3293,5750,9982
1347,2722,4635,6669,7752
1348,3121,5727,5824,7105
1358,2210,5805,6687,7065
1361,2025,3349,8088,8302
1399,2875,5004,6165,7682
1407,2245,3080,7404,8989
1470,1498,2999,8555,8603
1485,4072,5240,5374,6954
1493,2788,2856,7343,8645
1508,1751,2709,8503,8654
1525,2949,4574,7002,7075
1527,3444,5769,6013,6372
1533,2527,6135,6415,6515
1560,3545,3857,5363,8800
1574,2960,3042,6699,8850
1590,3543,4521,5161,8310
1607,2022,3921,6006,9569
1660,1738,3522,7162,9043
1682,2967,3101,6558,8817
1704,2294,3500,5640,9987
1811,2157,3194,7093,8870
1831,3821,4970,5582,6921
1924,2860,3102,6396,8843
1957,2116,4675,6051,8326
1978,2240,2705,6450,9752
1996,2773,3960,5586,8810
2109,3446,4146,5281,8143
2131,2573,2806,5699,9916
2146,2397,4356,4933,9293
2161,2726,3318,6306,8614
2231,2544,4174,6337,7839
2354,2906,3113,6226,8526
2419,4097,4819,5010,6780
2425,2583,4233,4501,9383
2522,2899,3761,4243,9700
2568,4021,4786,5177,6573
2674,3461,4695,6134,6161
2702,3335,4649,4722,7717
2889,3715,4331,4515,7675
2986,3738,5156,5284,5961
3013,3277,3454,3820,9561
3317,3561,4785,5372,6090
3883,4717,4765,4803,4957
