6353,7640,8087
7617,9987,9992
8394,9538,9664
8896,9342,9358
1613,8231,8765,8987
2085,7507,8088,9916
2843,5761,9315,9677
2875,5836,9176,9709
3219,6234,8628,9515
3349,6785,7937,9525
3543,5060,9476,9517
4511,5805,7689,9591
4543,6051,7026,9976
4822,6755,7245,8774
5991,6450,7473,7682
113,3192,7637,8268,8386
121,4337,5047,8437,9654
129,5544,5824,7013,9086
156,2425,8253,8259,8503
171,2581,7147,8654,9043
322,1856,7133,8850,9435
326,2757,7839,8159,8515
413,1947,6134,9410,9692
493,3948,6297,7763,9095
496,4036,7062,7604,8398
686,6495,6510,6558,7347
732,5284,5912,6337,9331
831,2898,6400,8555,8912
928,2860,6982,8058,8768
980,1722,7090,8539,9265
1042,3500,6070,8326,8658
1103,3061,6812,8182,8438
1143,4779,5802,7463,8409
1149,2604,6449,7790,9604
1203,3037,5543,8690,9123
1243,2722,7065,8103,8463
1292,2400,5363,8732,9809
1361,1674,6186,8989,9386
1503,2274,7058,8214,8547
1660,2354,5374,8406,9802
1738,3317,4813,8675,9053
1889,4501,5461,7811,7934
2018,4015,4635,7028,9900
2083,4344,5402,7247,8520
2109,3278,3281,9084,9844
2116,3013,6162,6549,9756
2389,2623,5376,8015,9193
2409,3515,5004,8329,8339
2415,2986,5853,7543,8799
2426,4058,6372,6385,8355
2527,2793,4391,8324,9561
2568,4243,5596,6906,8283
2957,3792,6154,7205,7488
3545,4064,4260,6707,9020
3614,3921,5040,7348,7673
1,2172,3318,4125,8739,9241
4,116,4478,6415,6911,9672
43,1974,2240,4896,8461,9982
50,2960,3265,6041,6253,9027
57,3629,4786,4951,5559,8614
75,1470,2223,7327,7765,8736
111,1419,3651,5640,7407,9368
117,1014,4021,4785,8800,8859
119,328,5158,5365,7863,8763
120,1323,4712,5408,6772,9261
189,1061,3379,6573,8009,8385
199,1892,3216,6250,6405,9634
229,1004,4092,6676,6814,8781
236,634,1957,6093,9293,9383
239,1525,4189,5333,7500,8810
246,3969,4824,5056,5619,7882
251,1425,1595,5270,9166,9889
253,704,4722,6683,7378,7856
288,863,1511,6873,8171,9890
293,1607,3535,5126,8049,8986
295,1261,4592,4681,7020,9747
296,2544,3817,6666,6780,7493
314,1704,3248,4634,8061,9635
318,1485,1861,6013,8092,9827
350,2588,4727,5156,6141,8634
369,806,3754,6078,6718,9871
382,1407,3761,5704,7739,8603
400,869,3101,6197,8160,8869
420,1560,3820,7075,7290,7431
422,2717,2939,5631,6135,9752
434,2131,3277,6090,7377,8287
436,2606,3040,4976,7073,9465
449,1094,4101,5711,6360,9881
450,789,823,7835,8377,9322
462,958,2889,4671,8879,9737
474,2496,4208,5586,7310,7522
481,1315,5177,6222,7093,7308
503,1675,3533,5636,7108,9141
507,1347,1480,6324,7997,9941
512,669,5500,5635,5961,9319
520,1341,3513,5438,7684,9100
530,2861,4219,4668,7404,7914
538,2999,3850,4969,6435,8805
556,763,2912,5845,8149,9371
575,3700,4207,5039,5180,8895
597,2294,2515,3561,8817,9812
600,3699,4602,4675,6816,7204
642,1605,3073,4884,8549,8843
647,3759,3857,6081,6484,6768
675,3242,4521,5211,5372,8575
689,1543,2397,7148,7830,7989
692,1978,4345,5174,7162,8245
694,2210,3333,5161,6212,9986
749,2135,2406,4196,8211,9899
752,2775,4174,4999,7034,7862
753,2639,3194,3362,7675,9973
756,1521,2799,3774,9046,9700
777,2518,5624,6165,6206,6306
779,1567,2143,6342,7069,9696
793,1690,4870,6697,6699,6847
825,2702,3883,4386,6396,9404
837,1283,2128,4524,9045,9779
839,1479,4135,4901,7023,9219
845,1272,4160,6404,7082,7833
862,3531,5349,5413,6140,6301
882,1167,3778,6161,6651,8957
900,1996,4783,4854,6954,8109
910,1840,3390,5639,6947,8870
922,2832,3656,4784,7459,7943
926,1282,2949,4651,8477,9311
930,3102,4097,4717,5786,8964
953,2097,2321,6972,7110,8143
961,1085,1751,7105,8175,8519
966,1688,3783,3966,8230,8963
979,2330,2795,5685,7140,8667
1030,1065,3423,4819,7600,9659
1057,4072,4356,4801,5240,8070
1072,1178,2709,6515,7844,8278
1088,1223,3461,4649,7529,9646
1090,1330,4233,4331,8302,8310
1093,1857,2726,4993,7097,9830
1104,2299,4008,4032,6775,9378
1112,2806,3252,5795,7288,7343
1114,2600,3272,4803,6006,9801
1119,2567,3293,3960,8131,8526
1132,1962,4159,4765,5968,9610
1148,2741,3113,5769,5938,8887
1161,2161,2576,6930,7217,7551
1200,1496,3612,5545,7002,8741
1204,3121,3816,4679,5683,9093
1215,2856,3084,4885,7112,8444
1237,2650,3576,4907,6581,8645
1303,1498,3715,4362,7526,9192
1314,1831,3600,6024,6921,7906
1336,1741,3404,4970,8046,8099
1343,1598,3701,6071,6539,8344
1348,3674,4935,5099,6157,6383
1358,1590,1924,6500,7912,8312
1363,2022,2480,2906,9200,9625
1369,2432,4453,5070,6783,7489
1399,1811,3335,3446,8289,9316
1493,2146,3681,4555,6992,8729
1508,2651,3035,4933,7717,7752
1527,2522,4695,4754,5686,8412
1533,1929,4202,6235,6687,7010
1574,3080,3454,3523,6127,9838
1682,2157,3300,5582,7337,7538
1699,2788,4182,5281,5750,7896
1863,2914,4171,4860,6893,6895
1879,2365,3886,4198,5699,9569
1902,2646,3085,5727,6811,7425
1903,2933,3042,6098,6226,7394
1938,2231,3399,3444,8161,8423
1983,1994,2279,5010,6661,9669
1986,2005,3010,3838,7708,9049
1999,2773,2967,3097,7387,9373
2025,3522,4272,4744,5460,7573
2030,2583,2632,4928,7702,7721
2245,2487,3260,6258,6669,6677
2280,3152,3738,3821,4957,9648
2419,2674,3144,4574,5123,9662
2573,2705,2899,4958,5170,9291
2645,3154,4146,4445,4515,8691
3305,3630,4156,4736,5026,6743
