56218,59241,61617
279,4180,96464,99077
732,1896,98071,99301
770,1601,98122,99507
1085,4106,96098,98711
2267,4468,94573,98692
2793,3683,94054,99470
2934,4893,93609,98564
3081,8124,90266,98529
3770,9178,89613,97439
4350,10969,88262,96419
5004,6458,90353,98185
5419,8644,87688,98249
5655,9909,88411,96025
5685,13453,84921,95941
5794,8949,87810,97447
6306,7594,89522,96578
6319,6434,89235,98012
6771,8728,87681,96820
6793,7850,88520,96837
6800,9295,87207,96698
7269,25331,75636,91764
7289,16563,82350,93798
7471,12105,84648,95776
7623,8096,88253,96028
8229,11037,86537,94197
8398,20081,80251,91270
8687,10490,84300,96523
9183,10739,86654,93424
9355,13662,82109,94874
9358,11727,83362,95553
9617,11748,84945,93690
9675,13387,80828,96110
9696,22096,75218,92990
9754,16097,81112,93037
9918,19490,77164,93428
9920,19479,76067,94534
10238,24786,74188,90788
10342,17539,78977,93142
10386,16279,80388,92947
10609,11705,83736,93950
10930,12411,81551,95108
11258,22868,78373,87501
11666,15944,77630,94760
11715,21884,73529,92872
11839,12260,82209,93692
12329,17688,78083,91900
13238,14990,78494,93278
13297,13871,80974,91858
13405,18920,81343,86332
13493,22750,76730,87027
13731,19320,75077,91872
13900,20875,77321,87904
13910,15968,79970,90152
13933,15970,80012,90085
13944,19593,75435,91028
13946,20758,75572,89724
14034,20154,76813,88999
14165,14240,76814,94781
14187,14942,81757,89114
14288,15473,75675,94564
14501,14899,79229,91371
14657,18247,77426,89670
15116,17938,75539,91407
15284,20070,73705,90941
15379,24179,75628,84814
15387,21713,74019,88881
15642,16201,77824,90333
15665,30295,68180,85860
15784,19664,78686,85866
15834,22342,74138,87686
15868,32941,66420,84771
15964,27434,72253,84349
16077,21603,76369,85951
16250,20424,73340,89986
16402,36010,64542,83046
16534,17618,79628,86220
16571,17732,76628,89069
16627,21737,75736,85900
16775,25938,70325,86962
16875,21360,74413,87352
16927,25180,70901,86992
17141,28632,68463,85764
17474,22070,72009,88447
17549,24683,70684,87084
17592,26579,68082,87747
17743,26222,68961,87074
17782,28380,67907,85931
17963,18934,75353,87750
18254,26507,71074,84165
18620,23162,72693,85525
18884,31793,65902,83421
19248,33971,64131,82650
