61164,88332
61507,88013
61557,87904
61617,87810
61739,87750
61746,87747
62155,87352
62309,87207
62497,86992
62514,86962
63132,86332
63961,85525
63985,85377
64131,85369
64165,85255
64542,84945
64581,84921
65192,84300
65208,84209
65258,84196
65325,84165
65635,83885
65650,83736
66066,83421
66368,83060
66420,83046
66487,82984
67439,81924
67767,81732
67907,81573
67913,81551
68124,81343
68463,80974
68571,80937
68637,80842
69385,80090
70200,79229
70325,79153
70390,79067
70431,78977
70736,78686
71002,78517
71074,78386
71090,78373
71292,78083
71313,78163
71332,78182
72009,77426
72070,77371
72253,77164
72438,76982
72693,76813
72735,76730
73138,76369
73221,76182
73640,75835
73705,75725
73753,75736
74019,75438
74188,75210
74221,75218
74413,75077
279,50468,98692
459,49552,99507
695,49244,99526
770,49620,99077
928,51091,97439
1296,51640,96578
1347,49409,98711
1383,48586,99466
2178,49133,98122
2526,49218,97729
2623,48011,98884
2793,48505,98185
2934,47954,98564
3118,47836,98513
3212,48183,98071
3467,48904,97065
3927,48105,97412
4065,47143,98249
4106,50303,95108
4180,54223,91028
4243,51559,93692
4249,49467,95776
4350,48613,96523
4359,50219,94874
4443,55061,89986
4460,53170,91764
5203,55957,88253
5515,54280,89724
5534,47528,96419
5655,54190,89613
5685,54097,89670
5794,52388,91249
6100,47345,96025
6319,47570,95553
6331,53633,89522
6434,56737,86220
6458,48466,94573
6540,51910,90941
6550,56238,86654
6793,48134,94547
6800,55018,87688
7003,47040,95432
7099,47886,94534
7269,53245,88999
7369,54427,87681
7594,54738,87127
7850,47061,94564
8124,54748,86537
8398,54986,86114
8687,53547,87211
8728,53702,87084
9178,46200,94054
9183,55158,85125
9295,56803,83380
9355,47162,92947
9358,46936,93142
9617,56218,83658
9675,46025,93798
9696,56871,82794
9754,54540,85188
9909,57376,82109
9918,56197,83356
9920,57217,82350
10739,46911,91858
11037,54398,84067
11125,57815,80481
11258,52361,85900
11715,47010,90788
11727,45841,91900
11839,49414,88262
12411,55967,81112
13297,58844,77321
13405,59267,76814
13453,58800,77259
13468,58350,77630
13493,57446,78494
13944,52950,82622
14165,60727,74504
14240,59605,75636
14501,61411,73427
14899,62107,72442
14990,58753,75572
15116,46649,87686
15284,64494,69585
15379,59429,74662
15387,63918,70002
15473,57911,76067
15642,63123,70755
15665,59625,74138
15784,62009,71661
15834,56980,76640
15944,34873,98642
15968,34123,99301
16109,57769,75628
16201,35157,98012
16250,61727,71456
16279,64980,68074
16534,65889,66981
16563,45369,87588
16571,46894,86037
16627,57257,75539
16775,35833,96820
24353,29120,95941
16824,62143,70550
16875,46668,85931
16927,56876,75675
17141,46373,85866
17288,61135,71066
17474,34418,97447
17539,60187,71761
17592,44849,87074
17618,46103,85764
17688,64880,66912
17732,60989,70684
17782,62015,69702
17938,34614,96698
17963,60559,70901
18247,32623,98409
18620,44932,85951
18884,36945,93609
18920,44708,85860
18934,45918,84548
19248,60693,69518
19320,45787,84355
19490,32411,97453
19664,45470,84349
19764,62600,67110
20070,36154,93278
20081,61310,68082
20195,45227,84030
20424,44425,84648
20587,32752,96098
20629,36952,91872
20811,44313,84351
21095,43990,84400
21315,44798,83362
21360,62179,65902
21418,35092,92990
21483,44556,83454
21505,31718,96110
21567,44206,83665
21603,36967,90836
21713,37278,90333
21737,32908,94781
21884,35038,92472
21949,44862,82650
22052,37267,90152
22070,59241,68180
22096,61628,65566
22342,35278,91407
23162,44540,81687
23323,43483,82707
23868,43402,82209
24179,34906,90353
24495,42987,81988
24520,44220,80742
24683,42878,81883
24787,60039,64663
24991,42838,81632
25331,27997,96028
25746,35116,88447
25775,29899,93509
25819,30482,93037
26507,34370,88411
26579,42286,80650
27029,33971,88520
27034,32245,90085
27121,33239,89114
27434,33197,88881
27496,28964,92872
27918,30206,91371
28380,40961,80166
28632,41216,79628
28937,31458,89069
29470,30776,89235
29573,43260,76628
30588,41102,77824
30948,42992,75353
31722,57570,60209
33424,40594,75435
33797,40504,75177
34114,55974,59280
34595,56243,58681
34912,40058,74497
36010,39944,73529
36204,39870,73340
36360,53578,59402
37008,52071,60327
232,785,49463,99004
732,1085,49099,98529
1507,3081,47987,96837
1601,20758,30683,96464
1786,7289,55552,84814
1894,10386,40673,96560
1896,26534,33646,87444
2185,16077,40921,90266
2267,5171,64618,77393
2340,23863,29291,93982
2710,8229,44306,94197
3683,4405,47380,94040
3770,5419,46869,93428
4468,8096,45676,91270
4600,10490,40696,93690
4893,15970,38436,90193
5004,13910,33801,96755
6306,8949,39483,94760
6771,8644,46931,87027
7141,20740,28165,93424
7471,13871,28649,99470
7543,23252,31153,87501
7623,10930,31267,99624
10238,13238,43126,82852
10342,13662,58314,67119
10609,12329,44698,81757
10969,13946,44198,80251
11666,13933,43904,79970
11705,13900,42757,81069
11748,12105,44405,81106
12260,14657,41699,80828
12672,13731,43449,79616
13387,14187,41495,80388
14034,14288,41187,80012
14942,16402,40668,77488
15868,22750,26100,84771
27916,30295,32366,58076
15964,19593,40257,73679
16097,18254,21154,93950
17549,37219,37814,56922
17743,22821,26222,82723
19479,21665,39406,68961
20127,32290,35973,61017
20154,25938,38737,64582
20650,36831,37231,54692
20875,42766,42840,42953
20941,24203,38603,65704
20981,31406,36068,61061
21709,30542,36674,60560
21832,22154,39320,66216
21918,24786,38378,64385
21975,22868,39065,65529
23766,41196,42075,42391
24747,36179,37657,50832
25180,29958,37766,56598
25391,41159,41395,41541
25446,29885,37649,56441
27483,32595,35610,53383
25992,30540,34860,58103
26570,35362,36291,51107
26794,40638,40862,41057
26998,29748,36856,55822
27134,29699,31596,60943
27144,31124,31734,59098
27224,30466,35077,56465
27268,31636,37145,53445
27284,31927,37440,52739
27766,33463,36738,51458
27842,32941,36664,52033
27941,30283,31771,59140
27967,29671,31467,60373
28083,31219,34032,53302
28389,40072,40317,40585
29383,30641,36676,52637
29533,34138,35683,50118
29752,39811,39892,40000
31793,38936,39093,39391
33896,38334,38579,38640
