38378,38640,39811
232,52950,71456,76982
48011,48466,49099,50832
23868,56980,57446,57815
44556,44708,45918,46200
43402,51640,52361,54097
40638,40921,41057,41187
36831,54398,54692,54748
34123,55018,55061,55974
279,22342,84945,94054
459,32411,81069,87681
770,17963,83421,99466
785,13662,90353,96820
928,14240,88999,97453
1347,20811,82707,96755
1383,31771,72438,96028
1507,27144,83356,89613
1894,47836,61557,90333
1896,21737,78517,99470
2178,31793,74221,93428
2340,26579,80937,91764
2526,47345,65529,86220
2623,60989,65566,72442
2710,15473,85188,98249
2934,15964,84209,98513
3081,16201,83454,98884
3118,16250,84067,98185
3683,14165,87747,96025
3770,12329,86992,98529
3927,24747,82794,90152
4180,4893,95108,97439
4243,19593,88262,89522
4249,10739,91872,94760
4359,15116,83736,98409
4405,36856,75438,84921
4443,6306,93424,97447
4460,31406,81106,84648
4600,8949,88447,99624
5004,31153,81112,84351
5171,20154,80742,95553
5419,11705,87084,97412
5515,16824,88253,91028
5534,25775,82723,87588
5655,27918,77259,90788
6100,21713,75736,98071
6319,7471,91270,96560
6331,13453,84771,97065
6434,29573,71066,94547
6458,48105,65325,81732
6540,34418,80012,80650
6550,9295,87211,98564
6800,12260,88520,94040
7003,36010,72070,86537
7099,13944,81573,99004
7289,36291,73640,84400
7369,28083,73221,92947
7623,21154,79153,93690
7850,14187,83060,96523
8096,47954,68082,77488
8229,16402,83380,93609
8398,16109,87127,89986
8644,29699,69585,93692
8687,37766,75539,79628
9178,47528,66420,78494
9183,20127,74188,98122
9355,17782,78373,96110
9617,21567,83362,87074
9675,40696,61164,90085
9696,13731,78686,99507
9754,19764,77321,94781
9918,50303,70325,71074
9920,25180,74662,91858
10238,27483,69702,94197
10490,35077,75572,80481
10609,45227,70431,75353
11037,13910,82109,94564
11125,30482,64581,95432
11258,45787,56243,88332
11715,15284,81343,93278
11727,31596,71090,87207
11748,24520,81687,83665
11839,21418,74413,93950
12411,40862,62015,86332
13238,35973,62143,90266
13297,39483,59605,89235
13387,29120,76067,83046
13405,15387,76730,96098
30206,56465,56598,56871
13468,16775,79970,91407
13493,27121,64542,96464
13900,21095,70684,95941
13933,46869,59267,81551
14288,22821,71002,93509
14899,33463,62009,91249
14942,29748,63132,93798
15379,28649,75835,81757
15665,42992,64880,78083
15784,54540,60560,70736
15834,26998,71761,87027
15968,35362,70200,80090
15970,44313,65902,75435
16077,36945,60187,88411
16279,34595,68124,82622
16534,34138,58076,92872
16563,53633,65208,66216
16571,21603,75636,87810
16627,20195,73427,91371
16875,42286,47886,94573
16927,29470,73340,81883
46373,46668,47570,47987
17474,34906,63985,85255
17539,37814,68637,77630
17549,29958,74497,79616
17592,36068,71332,76628
17688,39065,58753,86114
17732,20629,79229,84030
17743,36664,54223,92990
17938,36952,60693,86037
18247,47010,48613,87750
18254,40072,57769,85525
18620,36674,57257,89069
18920,30466,66368,85866
