3081,35116,97412,97439
4600,34873,96755,96820
6319,33646,96523,96560
6458,44313,91028,91249
6540,36967,94760,94781
7369,37657,93982,94040
8229,44220,90266,90333
8687,38334,92990,93037
9617,35683,93798,93950
9920,36010,93509,93609
10739,38579,91858,91872
11258,44932,88411,88447
12672,54540,82852,82984
13297,39406,90152,90193
13387,49218,85188,85255
13405,44698,87444,87501
13468,44206,87686,87688
13493,51640,83885,84030
13944,42838,88013,88253
14187,55967,81343,81551
14990,49409,84300,84349
15379,39320,89114,89235
15642,47987,84648,84771
15834,53302,81924,81988
15944,50303,83380,83421
15968,47010,84945,85125
16109,60693,78083,78163
16402,46911,84814,84921
16563,41216,87588,87681
16627,61507,77426,77488
16824,50118,83046,83060
16927,59241,78386,78494
17288,47528,84067,84165
17592,61310,76982,77164
18920,51910,81106,81112
18934,52071,80974,81069
19490,48586,82350,82622
19664,61135,76067,76182
20154,58314,77259,77321
20587,61061,75675,75725
20740,58681,76813,76814
20941,55552,78182,78373
21418,54427,78517,78686
21709,42391,84400,84548
21832,48011,81573,81632
21975,51091,79970,80012
23868,44862,82109,82209
24179,48613,80090,80166
24520,55158,76640,76730
25992,41699,82650,82707
26100,34614,86114,86220
26570,40961,82723,82794
27434,47570,78977,79067
28964,42953,80481,80650
31718,50219,75539,75572
232,2526,33197,98529,98564
279,4893,30542,98642,98692
459,5655,36952,94874,95108
695,1296,32290,99301,99466
732,928,32411,99470,99507
770,6331,30206,97729,98012
785,1894,31219,99526,99624
1085,4468,32595,97447,97453
1347,5534,34114,96025,96028
1383,2178,31406,99004,99077
1507,5419,33239,96419,96464
1601,2267,35278,96837,97065
1786,1896,31771,98711,98884
2185,2793,31636,98185,98249
2340,3927,30588,98071,98122
2623,3467,35973,95432,95553
2710,2934,30482,98409,98513
3118,7471,35077,93690,93692
3212,8644,32941,94054,94197
3683,4405,32752,96098,96110
3770,7099,36360,92872,92947
4065,4249,31458,96578,96698
4106,4443,35362,94564,94573
4180,4243,32908,95776,95941
4350,4460,35157,94534,94547
4359,10342,31927,93142,93278
5004,6100,35092,93424,93428
5171,6800,38436,91270,91371
5203,7269,36204,91900,92472
5515,8398,40000,89522,89613
5685,10490,41159,87810,87904
5794,6434,37649,91407,91764
6306,11666,37008,88999,89069
6550,7543,37814,90353,90788
6771,7141,39065,89986,90085
6793,8124,38737,89670,89724
7003,7594,36674,90836,90941
7289,9295,39870,88262,88332
7623,8096,42766,87211,87352
7850,10386,41196,86654,86962
8728,13871,36291,87074,87084
8949,11125,38640,87127,87207
9178,9183,40668,86992,87027
9355,12260,34032,88520,88881
9358,11705,40696,85525,85764
9675,10609,37267,87747,87750
9696,12105,38378,86332,86537
9754,15284,36179,85900,85931
9909,9918,41495,85860,85866
10238,10930,39892,85951,86037
10969,13910,41057,83454,83658
11037,12329,38936,85369,85377
11715,16097,36831,84196,84209
11727,16775,37145,83665,83736
11748,15116,44405,80842,80937
11839,13900,38603,84351,84355
12411,13662,40257,83356,83362
13238,16201,45227,79153,79229
13453,14899,43126,80742,80828
13731,18620,40058,80251,80388
13933,14288,41187,81757,81883
13946,15868,43990,79616,79628
14034,15784,39811,81687,81732
14165,20629,49620,74221,74413
14240,22868,45369,75218,75353
14501,17732,49244,75736,75835
14657,25331,45676,73679,73705
14942,16279,46373,77630,77824
15387,19320,47954,75177,75210
15473,21315,50832,72693,72735
15665,15970,46649,77371,77393
15964,18884,46936,75628,75636
16077,28389,46200,71090,71292
16250,20811,51107,72438,72442
16534,20195,49552,73340,73427
16571,20070,46668,74662,75077
16875,19248,54280,71313,71332
17141,20650,46931,74138,74188
17474,17539,47162,75435,75438
17549,19593,48134,73753,74019
17618,17963,48466,74497,74504
17688,17938,44425,76369,76628
17743,19479,49467,73138,73221
17782,24353,47143,71761,72009
18247,26998,53245,67119,67439
18254,24747,42878,73529,73640
19764,21918,49463,70901,71002
20081,20758,47886,72070,72253
20127,27134,52388,66487,66912
20424,21884,54097,68180,68463
20875,20981,54986,68082,68124
21095,26579,44849,70200,70325
21154,21737,47040,71456,71661
21360,21949,48505,70550,70684
21483,30641,49133,65889,65902
21505,21567,47836,71066,71074
21603,22821,52637,67913,68074
21665,31267,46025,66981,67110
21713,24203,51458,67767,67907
22052,22070,48105,70390,70431
22096,22750,49099,69518,69585
22154,22342,47061,70736,70755
23162,24495,48183,68571,68637
23252,27144,44306,68961,69385
