2676,8018,9557,9749
3042,8290,9050,9618
3147,7262,9670,9921
4032,7043,9134,9791
4045,7685,8726,9544
4145,7678,8238,9939
4455,7154,9190,9201
4478,5637,9909,9976
4640,7193,8698,9469
4654,6901,8528,9917
4659,7423,8757,9161
4680,7999,8494,8827
4940,7039,8072,9949
5016,6706,9049,9229
5123,7901,8378,8598
5320,7355,8618,8707
5331,7078,8013,9578
5439,7946,8171,8444
5450,6596,8517,9437
5530,5923,8981,9566
5687,6158,8518,9637
5722,6450,8294,9534
5759,6919,8512,8810
5924,6597,7525,9954
6241,7850,7868,8041
6247,6848,7742,9163
6679,6842,7937,8542
1174,4161,7957,7997,8711
1177,4188,7390,8371,8874
1194,3329,7013,8470,9994
1564,4678,6362,8266,9130
1718,2602,5892,9840,9948
1754,4215,5472,9179,9380
1889,5226,7359,7560,7966
2072,2713,6490,9148,9577
2093,3412,6918,7833,9744
2509,5809,5944,6387,9351
2520,3619,6278,8496,9087
2866,4537,5817,6844,9936
3009,4466,5829,7990,8706
3173,4124,5979,6786,9938
3200,3235,4887,8926,9752
3628,4643,6532,6603,8594
3743,5771,6551,6646,7289
4115,5916,6159,6701,7109
4613,5584,6153,6520,7130
4622,5144,5515,5568,9151
1002,2192,3750,6115,7116,9825
1039,1872,2996,5552,8987,9554
1040,3528,4296,5727,5943,9466
1072,1279,2078,7363,8702,9506
1079,1881,3844,6014,7940,9242
1081,1330,4878,5651,7418,9642
1085,1248,5633,5635,7386,9013
1100,3468,3911,6553,7210,7758
1109,2573,3395,4444,8691,9788
1112,3872,3893,4505,8225,8393
1121,2913,3856,6270,6965,8875
1134,1290,3035,5169,9683,9689
1136,2694,3022,6192,8272,8684
1151,2498,3352,4681,9057,9261
1162,1968,3759,6566,7016,9529
1163,3275,3374,5236,7969,8983
1164,4423,4442,6148,6804,7019
1190,2744,5316,5464,5490,9796
1199,1793,3535,6111,8197,9165
1205,2037,4993,5032,7347,9386
1207,1295,4916,6306,6481,9795
1215,1272,3882,6257,7374,10000
1217,3045,3644,5161,7577,9356
1219,2755,3020,3227,5592,7551
1246,1278,2654,7503,7580,9739
1249,3616,5173,5696,6650,7616
1264,1550,4784,5108,7317,9977
1286,3540,4204,6441,7141,7388
1292,2565,2591,5818,7891,9843
1313,2995,4321,6486,6563,8322
1315,2128,4332,5335,8375,8515
1327,2437,2847,6605,8068,8716
1328,1502,3667,6738,7479,9286
1333,2358,4806,5723,7692,8088
1339,1806,5306,5617,7870,8062
1378,2227,4743,6286,7145,8221
1403,1764,3127,7409,8122,8175
1410,3054,5071,6620,6803,7042
1439,2986,4225,6562,6891,7897
1450,2461,3524,6184,7761,8620
1458,2255,2389,6903,7905,9090
1482,2462,2885,5056,8830,9285
1492,2122,3373,6325,7575,9113
1509,2555,3077,5583,7393,9883
1529,3341,3721,4756,8094,8559
1534,1933,3560,5623,7717,9633
1538,3162,3548,6583,6785,8384
1552,2545,2597,4671,9123,9512
1554,1935,4295,5284,8027,8905
1567,2804,3306,5413,6923,9987
1573,2022,2175,5864,8940,9426
1574,2402,4134,6182,6421,9287
1580,3046,4807,6030,6330,8207
1615,1790,2320,6138,8818,9319
1620,3455,5259,5367,6797,7502
1621,1756,4507,5401,6988,9727
1628,2490,5503,6019,6142,8218
1633,3263,5007,5720,5825,8552
1651,2231,5693,5998,6600,7827
1686,3133,3541,5132,7160,9348
1689,2260,4469,5457,7287,8838
1702,1749,2282,4836,9671,9760
1710,3097,3994,6069,7010,8120
1715,2342,2419,6167,8261,9096
1738,2766,4708,5138,7670,7980
1741,2880,2933,4229,8413,9804
1745,2168,3226,5673,7413,9775
1752,2160,5199,6281,6956,7652
1760,2633,4599,6687,6858,7463
1763,2643,3277,5840,6582,9895
1787,2002,3931,6284,7149,8847
1820,2415,3613,3999,8308,9845
1831,2820,3950,5877,7360,8162
1839,4062,4704,4860,5266,9269
1853,2120,4205,6522,6721,8579
1854,3972,4682,5257,6495,7740
1862,2601,4047,4892,7367,9231
1895,2360,3904,6480,6739,8622
1917,2526,4596,5379,7172,8410
1923,2535,4366,5361,7433,8382
1924,2294,3399,4994,7542,9847
1926,3205,4721,5228,5547,9373
1960,3087,3868,5097,7762,8226
1989,3182,3290,4777,6876,9886
2010,3634,4782,5048,6289,8237
2031,4178,4644,5684,5871,7592
2043,3589,5895,5954,6224,6295
2099,2540,4628,6649,6700,7384
2100,3715,4171,5060,5171,9783
2137,3370,3978,4196,6826,9493
2141,2914,3273,5865,7069,8738
2143,3453,4711,4754,5431,9508
2158,3362,3996,5596,7066,7822
2171,2497,3201,6542,7233,8356
2208,2314,4039,5111,7375,8953
2211,2971,3798,6190,7332,7498
2257,3253,3696,4302,6899,9593
2271,2730,4380,5672,6808,8139
2280,2852,3231,4812,6885,9940
2289,2636,3953,5480,7719,7923
2292,4357,4977,5240,6382,6752
2293,2396,3944,4402,7135,9830
2319,3739,5362,5689,5765,7126
2331,2544,3958,5781,6795,8591
2338,4757,5092,5380,6062,6371
2364,2538,3366,3612,8167,9953
2375,2411,3600,5392,6907,9315
2387,2403,4539,4766,7806,8099
2390,2813,3887,5519,6905,8486
2422,2825,3685,6136,6732,8200
2438,3212,4163,5527,6341,8319
2447,3706,4700,5499,5833,7815
2489,3297,5255,5369,6609,6981
2529,3394,3831,5389,7309,7548
2609,3139,3712,4923,6641,8976
2652,4169,4349,5351,6383,7096
2659,2997,3593,4762,6084,9905
2682,2724,3818,6037,6319,8420
2691,3183,3204,4232,8229,8461
2703,4282,4372,4691,5618,8334
2711,3010,3580,4128,7354,9217
2712,2924,2970,5193,6776,9425
2788,3948,4473,5120,6133,7538
2805,3861,4246,4870,6735,7483
2947,3113,3737,6040,6155,8008
2966,3219,3851,6625,6631,6708
3053,3591,5134,5159,6412,6651
3186,4347,4384,5366,6242,6475
3252,3312,3705,4675,5475,9581
3368,3682,4224,4427,6845,7454
3406,4038,4048,4802,4997,8709
4037,4167,4237,4565,5626,7368
