260067657,826757695,916976393,992287201
321713957,805962626,900322079,970457168
391729877,789500728,867507517,950207434
428348474,666528529,913064294,988838638
429667853,666586771,913155335,989363840
435153167,736571544,828480672,998314057
435306884,736926390,829083355,998462528
462439783,753566630,847976582,935366920
481058585,704979895,863947759,947207060
494501497,649506231,889339813,964295412
495389277,649765300,890007741,964574800
503014105,716651716,805964868,973639807
511545406,667704748,826008426,991699061
533606720,686114077,844099100,932054539
570779695,718418603,806614730,901138626
102186569,169529207,822524841,914861594,990118481
108653282,140549508,829201385,921076171,999908634
114133987,442926479,677008513,836254174,925384537
120329943,357004201,748423698,842729836,929738421
127579697,462747878,617629590,848830222,938131905
132040912,423165264,720189318,816634948,906014288
133888014,541602328,695898988,769299488,855299254
134001733,293355596,770418804,857525787,944511552
145437694,391746234,637666163,871062883,951234845
145509453,391800785,638128533,871790926,951395549
146615662,553765438,638478805,706313953,953505085
147223379,393004775,707687983,793838291,954074658
148797270,393669681,707716191,794011802,955286617
148895254,222687047,795773812,876205438,955709747
149154769,305610311,708892095,878748952,955966478
159676387,321323366,652979007,896997038,967724136
167176917,425132245,509858113,911216265,984760251
177922728,435907013,741496944,742083269,830413626
180841821,446738160,604006507,836929147,926857288
182581633,446827872,605378751,837785697,927183589
183163593,528544139,607259527,748173854,928368240
185609237,357839007,681827374,842753645,930185550
188429823,276951408,750557639,845406434,934982851
201096526,467368539,538397295,850083778,939634487
202780107,396553022,560177809,882145542,956778971
204506335,371458711,624052703,855177092,942981559
206756404,397708686,710813204,798262954,884974941
207388483,373365567,697595004,774784208,944631017
219865060,392393705,638659981,793273175,953646673
221012994,578619354,660959552,720865586,817934406
223953926,309947376,709537906,797387436,957367680
237949005,408992690,496335358,890747973,965339090
238976443,574200667,658036124,719211884,808378221
239701554,410417022,652194538,804181263,892789195
256743992,332782677,510059134,911608163,986085538
257032894,333265349,510532464,912614491,986382634
258020026,431419661,586850728,731339377,991061203
261053827,337581153,670476424,735905811,993844353
267804506,443018411,521783738,836526543,926690039
267886689,525234201,680887640,746641979,748130619
268286528,354193198,606307201,838543248,927274941
270411087,354347811,606444241,839775066,927978428
274526404,359927661,683919334,749516715,931497256
288528269,467847332,539064657,760351993,940194413
288687499,468217664,539198190,762607452,940819304
290080076,370234728,539224168,854293936,941113324
290264439,370729480,541086210,854363457,942443478
319677124,409854814,496774943,803668970,965625550
320392202,412050446,568464651,804758427,893766474
341351781,345184786,596631917,832483280,834917451
345739011,440314344,674945732,675820236,835223631
346322024,523253773,678707236,679387658,745607333
366945012,617498752,618563494,691651739,691770464
368700142,468352408,619077452,691943004,851581235
377879301,483938283,554151951,707301110,874612661
390741153,481099704,635967213,705013788,785103503
401681919,493891563,563558676,648094432,888188072
402302957,493904277,563873177,649478168,888993004
459961345,611805439,613091480,615567780,688934269
478030860,478881367,630577766,631163925,778191716
518401340,518631486,599427667,600828631,742996505
519458575,519467519,602424133,603789218,744377862
100672291,168923208,333668442,666281222,820153917,909904282
101061161,257636894,510959123,583797720,729647913,816654930
105301689,430434378,511416353,585848913,667192750,698421832
105478755,171044380,258142920,726380476,822912142,915341918
105819526,336852827,431589273,587243136,732217196,805029845
105916636,171275256,590074390,669845502,728051269,733389261
106147619,434558694,512611794,527646207,590506640,828396105
109686173,174246913,339678423,435590938,960451096,980152649
111647081,262817979,435703115,593211739,672579636,921790665
112050046,175852979,515044777,595828794,674783649,921894324
112868112,263512196,438355480,517699110,742229127,922190431
113340965,178508815,439908712,598301584,742830210,922801483
113668867,179353646,265751628,676179663,835558446,925063189
113843601,179468920,265802049,676901928,835703150,925348436
115339667,163646313,506065251,575504153,660614132,978553834
116363711,293130246,479182607,632347710,700024965,778676340
116797752,449195639,451858039,452818606,681520881,841085800
118118561,454344057,531354016,532278494,607396608,749390389
118372270,282509365,365320371,538036892,754054056,937511188
118401384,215250039,298003900,551669004,865622360,948542227
121324037,251333553,325987772,422687368,901842013,976484428
122805826,322972071,418579845,503155130,657283938,975161517
124040225,353375928,456004521,532596207,681671869,843031120
124043315,276497897,360464840,458411911,844920415,934079541
124157273,372380979,373127095,542249045,629067252,943242789
124316368,191031218,362040171,536861567,846201661,935149031
125247111,191917773,279099055,616461206,847301003,935332925
126918058,288365279,475325095,542322243,697446825,857538057
127404537,151165352,563281472,645170331,711044352,800182615
129895397,329624938,329861174,579734898,722748758,907403746
129936832,172289872,513483863,592340801,672116844,919374278
130797925,151131545,563073323,644250672,710994992,799357176
131403045,204374196,545105877,630055007,697922960,774888332
131468626,302985895,485162377,557511562,639334406,875178995
134134380,163557982,505457078,659471783,719326779,815697899
138457572,208169166,374989111,475537341,857740681,944838617
138621611,209037677,294918832,630515790,777253178,945261136
138783759,209427699,295383566,546013947,861025342,945551916
140206362,209813644,295642685,546057884,861129756,945571469
140932113,213178828,296143239,703587426,781991949,861655815
141611611,204717835,375975421,550438627,781286128,945603872
141667574,479412685,480241195,550555443,634117578,703799222
141683820,215036295,355862564,550695555,784920878,946478076
142472219,151552563,230414125,711296812,800275563,960799905
146921726,164216293,327490505,660760847,720404089,979139690
149220030,306181097,394465463,642304912,709428013,797290980
149388168,274500780,488872622,560849023,642598799,883011800
150834256,224525541,310384493,642708476,710153187,959093757
151020186,397291871,490297135,514587582,561589531,883713610
151561866,230550668,313397624,629110680,712601261,962249604
151811963,230664072,316633628,536787649,801009407,962985877
152537738,362684985,406014842,564168862,712654517,801576914
154073765,318753044,360393789,650868264,713227786,802331035
154452229,197620799,564575487,565951079,713604288,802664355
155418276,320286964,481282907,499623723,651882337,890876653
159563725,241168422,350678005,567717888,714466415,965664966
160185591,416276136,501519590,569344350,637297107,714788664
160605253,242708473,321719637,418098622,887648293,966215580
160687760,245025837,462499480,570412095,656828436,900913390
162216903,246929811,323301629,571661476,718700744,975765801
163222904,350986922,421271648,505058282,657701488,901299814
