822,996,996,996
822,996,996,996
828,994,994,994
888,974,974,974
888,974,974,974
913,965,966,966
945,955,955,955
945,955,955,955
945,955,955,955
936,958,958,958
936,958,958,958
933,959,959,959
933,959,959,959
933,959,959,959
927,961,961,961
921,963,963,963
921,963,963,963
915,965,965,965
912,966,966,966
912,966,966,966
909,967,967,967
900,970,970,970
900,970,970,970
891,973,973,973
888,974,974,974
885,975,975,975
876,978,978,978
878,977,977,978
876,978,978,978
873,979,979,979
873,979,979,979
858,984,984,984
852,986,986,986
852,986,986,986
840,990,990,990
834,992,992,992
834,992,992,992
828,994,994,994
825,995,995,995
825,995,995,995
825,995,995,995
825,995,995,995
822,996,996,996
822,996,996,996
810,1000,1000,1000
810,1000,1000,1000
75,894,897,972,972
114,717,993,993,993
171,639,1000,1000,1000
187,702,973,974,974
265,590,985,985,985
453,454,967,968,968
506,687,687,965,965
260,596,984,985,985
322,658,870,980,980
327,673,812,999,999
435,697,698,990,990
750,765,765,765,765
706,776,776,776,776
130,823,951,953,953
497,497,828,994,994
494,829,829,829,829
331,662,831,993,993
454,839,839,839,839
447,840,841,841,841
430,845,845,845,845
430,845,845,845,845
326,871,871,871,871
326,871,871,871,871
61,900,927,961,961
54,909,921,963,963
50,913,921,963,963
130,831,927,961,961
102,927,927,927,927
102,927,927,927,927
29,945,945,945,946
376,579,947,954,954
377,565,956,956,956
546,564,806,936,958
462,462,962,962,962
619,620,691,915,965
61,851,966,966,966
73,818,973,973,973
441,441,976,976,976
492,492,858,984,984
285,700,855,985,985
613,613,613,985,986
429,556,855,985,985
282,712,828,994,994
37,889,889,997,998
408,408,998,998,998
3,3,951,951,951,951
15,750,750,765,765,765
14,36,940,940,940,940
45,413,838,838,838,838
47,66,924,924,924,925
65,749,749,749,749,749
81,362,442,975,975,975
93,301,603,864,974,975
145,172,708,797,994,994
160,160,642,924,962,962
164,165,870,870,870,871
218,449,449,898,898,898
239,254,517,842,979,979
298,299,668,848,848,849
294,312,801,801,801,801
319,319,793,793,793,793
340,694,694,694,694,694
183,411,804,804,804,804
245,431,431,737,983,983
278,295,484,882,901,970
370,515,553,652,860,860
374,453,462,561,980,980
266,348,614,614,984,984
104,618,772,772,772,772
525,657,657,657,657,657
515,659,659,659,659,659
430,676,676,676,676,676
44,141,676,983,983,983
278,285,572,703,986,986
250,712,712,712,712,712
250,712,712,712,712,712
115,739,739,739,739,739
44,753,753,753,753,754
204,568,722,772,772,772
95,603,778,778,778,778
335,335,785,785,785,785
81,393,799,845,846,846
279,279,813,813,813,813
103,134,815,830,964,964
267,501,594,816,816,816
255,255,825,825,825,825
148,338,695,814,830,985
241,241,832,832,832,832
94,380,834,834,834,834
126,396,522,840,936,990
217,217,844,844,844,844
211,211,847,847,847,847
185,380,672,857,858,858
67,288,863,864,864,864
6,326,868,868,871,871
167,242,621,870,930,980
83,243,871,871,871,871
107,215,872,872,872,872
147,147,879,879,879,879
136,208,748,881,895,942
64,134,903,903,903,903
157,448,448,919,919,919
37,72,925,925,925,926
30,52,932,932,932,932
23,59,932,932,932,932
24,54,933,933,933,933
20,42,937,937,937,937
13,29,942,942,942,942
43,200,729,946,946,946
7,15,947,947,947,947
160,307,466,959,959,959
170,361,481,874,962,962
94,481,481,830,962,962
145,296,552,888,964,965
102,365,516,879,971,977
84,403,486,891,973,973
100,138,647,975,975,975
353,353,423,705,988,988
1,3,6,950,950,950,950
10,10,758,758,758,758,758
4,17,19,942,942,943,943
1,4,26,940,941,941,957
38,365,568,568,568,851,852
41,43,338,593,931,932,932
51,69,288,634,922,923,923
59,125,461,462,901,901,901
59,59,491,491,864,923,923
62,99,109,885,885,885,885
83,117,274,821,821,821,873
84,185,199,835,835,836,836
85,111,302,651,887,887,887
86,292,307,624,639,931,931
92,307,307,776,776,776,776
92,94,453,453,906,906,906
43,98,473,473,747,988,988
99,105,206,850,850,850,850
63,103,435,631,712,894,972
104,133,328,811,811,811,812
113,180,211,669,879,879,879
128,297,297,546,816,831,895
4,5,10,11,18,31,130
99,133,388,459,893,919,919
19,47,135,867,914,914,914
60,135,271,745,866,866,867
165,230,253,408,882,883,989
167,193,319,544,862,862,863
168,607,607,607,607,607,607
157,169,266,281,979,979,979
174,330,336,469,661,920,920
177,182,220,359,957,957,958
152,183,695,695,695,695,695
198,230,358,668,785,785,786
198,202,442,598,790,790,790
65,205,408,464,819,892,957
119,208,451,698,778,778,778
84,216,433,599,666,813,999
182,221,268,587,638,957,957
189,226,679,679,679,679,679
13,239,358,389,937,937,937
36,240,314,665,733,911,911
84,240,324,570,648,972,972
33,58,267,662,930,930,930
281,281,511,562,693,693,789
230,297,299,299,895,895,895
53,312,313,783,783,783,783
319,319,408,445,733,793,793
135,320,321,706,776,776,776
103,333,334,334,902,902,902
124,226,340,464,734,961,961
202,368,368,368,834,835,835
138,248,372,484,642,963,963
304,355,398,398,417,969,969
81,400,400,529,800,800,800
164,406,406,407,809,809,809
255,313,412,461,461,954,954
151,215,216,417,837,987,987
60,141,402,428,837,971,971
41,319,437,479,638,939,957
27,91,438,725,843,843,843
290,440,440,440,440,880,880
231,400,419,445,665,810,840
134,164,448,496,856,856,856
30,56,465,466,931,931,931
136,373,381,474,529,958,959
57,203,205,484,953,954,954
21,478,499,500,500,813,999
79,464,484,484,505,825,969
104,507,533,533,533,800,800
35,232,534,606,801,801,801
534,546,546,546,546,546,546
528,547,547,547,547,547,547
169,169,321,547,868,868,868
234,292,408,550,664,831,831
456,559,559,559,559,559,559
40,193,561,754,754,754,754
201,209,441,442,566,975,976
14,65,212,584,972,972,991
157,216,599,599,629,629,981
233,316,345,494,600,827,995
45,358,402,402,603,1000,1000
80,159,185,634,846,953,953
114,501,639,639,639,639,639
114,156,335,646,651,954,954
130,351,351,647,777,777,777
270,475,477,647,647,647,647
171,354,657,657,657,657,657
124,397,657,658,658,658,658
257,258,659,659,659,659,659
96,203,403,660,816,816,816
315,361,430,676,676,676,676
24,442,640,676,676,676,676
13,79,370,677,677,997,997
108,415,571,679,679,679,679
99,286,685,685,685,685,685
167,473,473,473,644,698,882
111,192,701,701,701,702,702
48,244,485,702,777,777,777
37,257,703,703,703,703,704
56,209,709,709,709,709,709
240,357,357,714,714,714,714
358,358,459,459,487,716,973
41,94,735,735,735,735,735
115,137,602,739,739,739,739
44,65,740,740,740,740,741
90,328,416,744,744,744,744
33,38,747,748,748,748,748
68,374,374,748,748,749,749
20,30,752,752,752,752,752
50,109,465,752,752,752,930
175,178,179,777,777,778,946
170,220,389,694,779,779,779
35,172,391,784,784,784,860
35,131,520,773,783,784,784
59,185,597,604,788,788,789
170,237,357,682,788,788,788
263,263,264,650,790,790,790
147,147,296,805,805,805,805
226,319,364,364,816,816,905
108,306,415,494,829,829,829
208,224,446,446,828,829,829
78,90,261,833,833,833,882
91,107,268,836,836,836,836
229,233,259,578,837,837,837
89,99,267,838,839,839,839
68,207,377,671,807,840,840
269,284,326,696,697,697,841
47,192,192,844,845,845,845
94,164,164,847,847,847,847
215,215,279,558,847,848,848
51,154,204,850,850,850,851
130,143,261,720,847,854,855
74,188,263,710,858,858,859
199,253,366,409,861,861,861
85,128,152,861,861,861,862
187,212,285,537,863,863,863
211,429,429,533,636,706,866
146,241,434,531,723,867,868
68,80,155,876,877,877,877
140,222,311,640,741,878,878
22,23,251,878,878,879,879
266,266,308,573,637,880,880
9,45,55,884,939,939,939
95,179,232,652,884,884,884
113,160,237,643,885,886,886
282,282,338,469,556,885,998
51,113,290,698,886,886,886
149,212,524,567,576,891,891
48,192,222,670,892,893,893
61,67,94,897,897,897,897
3,6,210,897,898,898,898
7,95,112,899,899,899,899
51,52,100,901,902,902,902
206,232,334,335,901,901,901
23,140,206,738,901,901,901
47,71,81,902,903,903,903
22,73,95,905,905,905,905
50,57,63,910,910,910,910
45,60,61,911,911,911,911
70,85,183,731,913,914,914
45,93,397,521,918,918,918
36,322,482,482,642,923,923
110,173,303,449,925,925,925
145,295,296,296,926,926,926
34,231,243,515,929,929,929
2,9,11,934,934,934,986
53,159,356,432,936,937,937
9,17,24,940,940,940,940
11,102,407,446,948,948,948
92,510,511,511,619,619,948
1,4,7,949,949,950,950
1,2,4,950,951,951,951
219,220,315,509,639,954,954
66,140,662,662,662,662,956
6,214,308,432,932,959,959
125,125,190,439,977,977,977
70,104,133,569,978,978,978
359,384,384,384,622,697,980
34,52,288,524,948,982,982
118,166,350,353,849,987,987
112,147,410,578,709,863,991
55,166,203,386,1000,1000,1000
2,19,275,524,569,667,830,924
2,11,12,45,895,941,952,952
5,12,28,61,926,926,926,926
6,20,42,229,672,947,947,947
1,2,7,28,943,943,943,943
9,83,143,405,620,620,965,965
10,32,58,396,668,832,907,907
12,255,258,542,562,632,732,817
4,4,13,37,938,938,938,938
8,13,617,627,627,627,627,664
14,147,420,567,567,567,567,961
15,113,281,341,375,895,895,895
16,20,45,266,865,866,866,866
16,33,363,520,655,655,784,784
17,69,587,587,588,588,588,786
20,161,294,529,602,617,764,823
8,20,122,455,801,801,801,802
21,89,98,306,824,824,824,824
21,84,199,267,687,696,928,928
1,20,22,217,724,942,942,942
25,182,215,230,604,705,914,935
28,104,261,367,535,535,990,990
14,15,29,63,875,938,938,938
25,29,30,304,741,837,922,922
16,30,230,245,615,799,937,938
31,141,224,515,624,663,806,806
31,239,270,654,654,654,654,654
41,208,396,586,644,645,645,645
41,74,101,152,860,860,861,861
43,107,155,302,651,689,909,954
43,196,374,532,533,533,799,800
43,179,248,300,569,691,890,890
46,341,385,531,531,531,531,914
53,182,227,372,744,744,744,744
34,46,54,460,607,779,860,970
55,99,193,285,356,929,929,964
3,56,533,592,592,592,721,721
26,57,247,696,696,696,696,696
58,242,242,491,602,725,725,725
56,58,361,443,723,723,723,723
58,78,114,507,592,724,796,941
59,59,198,514,556,752,829,843
53,61,253,581,597,614,773,878
39,39,41,64,906,907,907,907
66,84,274,339,602,677,884,884
13,66,132,161,808,868,881,881
67,195,548,600,600,600,600,600
69,173,192,302,664,710,775,925
70,218,218,304,305,891,891,913
33,71,114,452,548,607,992,993
72,227,258,452,515,680,803,803
73,88,173,230,575,817,876,978
71,79,374,560,561,669,748,748
2,79,269,305,519,732,952,952
79,221,435,481,481,568,583,962
85,149,218,550,579,619,728,882
3,78,85,153,699,799,996,997
86,235,246,338,488,763,763,891
86,130,401,620,621,621,621,710
87,155,261,466,514,674,722,931
11,27,87,286,830,830,830,909
87,119,271,458,545,597,813,920
88,299,300,333,596,596,599,999
83,89,356,417,421,801,821,822
90,218,372,372,372,744,744,898
91,120,421,421,422,738,754,843
85,92,212,214,619,728,884,976
94,112,146,453,615,663,796,931
21,39,95,725,726,726,726,752
95,189,230,382,508,764,764,878
37,95,254,400,598,665,773,988
97,277,375,375,397,730,751,808
100,262,434,502,565,649,649,649
101,146,159,294,680,734,734,962
104,149,323,526,578,589,589,952
43,104,468,468,468,602,802,855
55,106,209,410,420,868,871,871
107,285,465,465,466,674,674,674
107,211,299,312,586,678,678,939
69,108,395,396,672,672,727,771
109,356,357,358,361,439,915,915
116,209,331,331,331,720,886,886
110,116,178,611,616,726,726,727
118,123,446,446,446,447,892,892
118,157,307,430,587,587,686,938
120,122,131,483,585,585,892,892
52,68,120,714,714,714,714,714
50,121,191,250,545,739,957,957
122,194,228,274,331,821,855,985
121,123,252,349,398,821,873,873
125,200,239,581,666,666,666,667
36,125,128,316,439,860,953,953
110,129,450,450,451,740,740,740
130,153,282,649,649,649,649,649
58,88,131,131,710,710,991,991
132,132,591,591,591,591,591,591
132,390,391,445,613,613,613,613
132,235,308,361,693,693,694,694
12,132,255,284,610,800,844,873
135,140,142,142,422,846,989,994
116,135,400,443,464,618,787,847
11,85,136,189,670,887,888,944
138,188,210,423,537,771,771,772
98,139,246,367,521,761,761,917
140,155,233,374,669,669,669,901
47,145,265,305,716,722,733,877
146,206,277,423,553,565,649,991
146,147,196,271,526,654,885,985
149,252,285,536,647,647,647,647
149,268,296,320,324,683,885,885
79,152,357,357,522,781,781,781
152,257,350,350,607,651,651,792
104,120,154,396,650,704,807,875
155,222,428,582,582,582,583,676
100,156,207,530,578,629,629,981
156,157,249,250,500,500,999,999
160,252,291,302,593,593,688,931
24,161,212,475,649,649,649,991
101,161,307,584,596,641,677,743
103,155,162,409,411,809,809,952
166,352,411,576,576,576,576,577
107,115,166,312,733,733,733,911
20,68,171,351,729,797,797,877
172,226,346,347,347,693,812,867
175,201,321,321,556,602,817,817
175,217,251,440,441,572,833,881
166,178,243,263,441,787,866,866
178,179,364,364,364,728,816,817
20,106,181,263,489,846,928,977
79,155,181,543,543,725,730,854
109,118,126,181,819,819,819,819
26,182,285,418,529,780,795,795
8,182,357,433,605,605,768,852
138,182,189,226,359,905,905,906
103,185,246,302,342,794,864,974
186,187,297,537,537,537,725,804
174,189,190,269,530,586,909,963
