202,974,974,974,974
761,834,834,834,835
808,822,822,823,823
799,824,825,825,825
778,830,830,830,830
746,838,838,838,838
718,845,845,845,845
710,847,847,847,847
678,855,855,855,855
678,855,855,855,855
678,855,855,855,855
642,864,864,864,864
622,869,869,869,869
622,869,869,869,869
621,869,869,869,870
614,871,871,871,871
614,871,871,871,871
562,884,884,884,884
534,891,891,891,891
506,898,898,898,898
506,898,898,898,898
498,900,900,900,900
494,901,901,901,901
478,905,905,905,905
462,909,909,909,909
430,917,917,917,917
398,925,925,925,925
390,927,927,927,927
370,932,932,932,932
362,934,934,934,934
353,936,936,936,937
314,946,946,946,946
314,946,946,946,946
314,946,946,946,946
270,957,957,957,957
238,965,965,965,965
202,974,974,974,974
202,974,974,974,974
186,978,978,978,978
118,995,995,995,995
17,118,978,995,995,995
52,69,994,994,994,995
58,504,884,884,884,884
58,808,808,808,808,808
67,143,972,972,972,972
78,638,823,823,823,913
32,90,994,994,994,994
114,246,921,922,922,973
148,790,790,790,790,790
167,169,940,940,941,941
209,209,920,920,920,920
236,236,906,906,907,907
246,474,489,963,963,963
253,769,769,769,769,769
291,582,606,873,873,873
313,315,629,947,947,947
341,341,854,854,854,854
393,394,782,829,829,871
398,740,740,740,740,740
399,399,825,825,825,825
411,412,806,823,823,823
222,420,864,864,864,864
421,422,729,842,842,842
430,430,430,936,936,936
458,728,728,728,728,728
462,727,727,727,727,728
225,484,484,968,968,969
633,693,693,693,693,693
623,695,695,695,695,695
483,723,723,723,723,723
452,729,729,729,729,730
403,739,739,739,739,739
333,753,753,753,753,753
254,768,769,769,769,769
178,784,784,784,784,784
171,785,785,785,786,786
158,788,788,788,788,788
98,800,800,800,800,800
93,801,801,801,801,801
43,811,811,811,811,811
18,816,816,816,816,816
93,721,821,821,821,821
413,414,790,827,827,827
394,396,827,827,827,827
414,416,778,830,830,830
381,381,834,834,834,834
365,365,842,842,842,842
341,342,853,854,854,854
232,439,854,854,854,865
285,569,679,855,855,855
317,317,866,866,866,866
276,592,623,869,869,869
306,307,871,871,871,872
216,606,657,873,873,873
291,291,879,879,879,879
109,465,881,881,881,881
112,670,670,882,882,882
189,377,883,883,883,883
361,362,724,883,884,884
269,269,890,890,890,890
269,269,890,890,890,890
267,267,891,891,891,891
206,303,897,897,897,898
450,450,498,900,900,900
41,494,860,901,901,901
241,241,904,904,904,904
181,462,728,909,909,909
227,227,911,911,911,911
203,203,923,923,923,923
202,204,923,923,923,923
402,462,462,924,924,924
193,193,928,928,928,928
279,374,652,931,931,931
183,183,933,933,933,933
42,324,933,933,933,933
66,656,770,832,832,942
128,182,947,947,947,947
81,180,959,959,959,960
143,250,819,962,962,962
123,123,963,963,963,963
218,279,691,970,970,970
396,396,396,970,970,970
56,154,972,972,972,972
92,94,978,978,978,978
49,109,985,985,985,985
75,75,987,987,987,987
10,132,989,989,989,989
43,87,992,992,992,992
55,59,996,996,996,996
98,400,600,1000,1000,1000
366,366,366,1000,1000,1000
279,394,425,1000,1000,1000
6,12,816,816,816,816,816
11,294,497,669,669,979,979
5,12,145,984,984,984,984
22,36,132,977,977,977,977
26,70,113,972,972,972,973
40,239,239,895,895,895,895
59,305,709,756,756,756,757
66,305,431,662,873,873,888
24,67,87,962,986,986,986
93,111,262,908,908,908,908
68,102,104,827,999,999,999
29,102,103,966,966,966,966
15,124,135,956,956,956,956
131,131,479,480,959,959,959
147,276,276,546,951,951,951
70,156,199,918,918,918,919
52,155,156,933,934,934,934
115,157,503,755,856,856,856
165,167,222,886,886,886,886
157,170,225,886,886,887,887
178,332,377,496,755,980,980
186,318,319,425,950,950,950
191,191,192,881,881,881,881
66,200,201,858,924,924,925
118,216,452,828,828,828,828
45,224,312,843,843,843,988
164,231,437,437,943,943,943
244,285,313,757,757,757,985
167,253,507,603,856,856,856
39,266,370,627,932,932,932
153,286,385,529,915,915,915
186,289,289,694,880,880,880
183,295,393,614,871,871,871
298,299,299,514,896,896,896
266,334,364,747,747,747,893
65,270,335,857,857,857,857
127,205,342,607,939,939,939
