871,928,928,928,928
871,928,928,928,928
866,929,929,929,930
839,936,936,936,936
829,938,938,939,939
827,939,939,939,939
799,946,946,946,946
775,952,952,952,952
775,952,952,952,952
759,956,956,956,956
755,957,957,957,957
731,963,963,963,963
731,963,963,963,963
719,966,966,966,966
703,970,970,970,970
687,974,974,974,974
687,974,974,974,974
687,974,974,974,974
675,977,977,977,977
671,978,978,978,978
663,980,980,980,980
639,986,986,986,986
607,994,994,994,994
607,994,994,994,994
28,911,911,911,911,911
322,624,799,946,946,946
368,423,948,948,948,948
387,593,663,980,980,980
450,451,920,920,921,921
492,493,645,984,984,985
303,560,930,930,930,930
382,583,723,965,965,965
61,721,905,965,965,966
763,764,764,764,764,764
763,764,764,764,764,764
738,769,769,769,769,769
729,770,771,771,771,771
718,773,773,773,773,773
663,784,784,784,784,784
663,784,784,784,784,784
194,619,797,991,991,991
578,801,801,801,801,801
568,803,803,803,803,803
438,829,829,829,829,829
358,845,845,845,845,845
358,845,845,845,845,845
348,847,847,847,847,847
22,847,912,934,934,934
321,852,852,852,853,853
228,871,871,871,871,871
228,871,871,871,871,871
1,916,916,916,917,917
72,814,924,924,924,925
414,468,925,925,925,926
233,704,835,937,937,937
468,469,835,937,937,937
219,532,958,958,958,958
147,600,959,959,959,959
365,365,963,963,963,964
482,483,723,965,965,965
37,715,930,967,967,967
209,494,970,970,970,970
442,607,618,972,972,972
554,555,555,973,973,973
97,569,979,979,979,980
165,442,994,994,994,994
125,478,995,995,995,995
3,587,998,998,998,999
500,500,583,1000,1000,1000
500,500,583,1000,1000,1000
17,434,826,826,826,827,827
116,342,825,825,825,825,825
58,156,429,985,985,985,985
166,562,771,771,771,771,771
133,182,376,973,973,973,973
184,184,219,999,999,999,999
196,349,398,811,943,943,943
96,229,450,901,969,969,969
190,334,427,779,951,951,951
143,376,812,813,813,813,813
386,420,420,839,839,839,840
16,257,402,908,1000,1000,1000
125,403,811,811,811,811,811
10,317,440,954,954,954,954
213,281,494,631,988,988,988
505,544,544,544,814,816,816
281,532,670,670,810,810,810
42,546,559,559,959,959,959
557,671,671,671,671,671,671
374,471,472,569,813,942,942
22,583,778,800,800,800,800
617,661,661,661,661,661,661
271,472,667,695,709,831,938
209,729,729,729,729,729,729
58,131,749,831,938,938,938
152,682,682,766,767,767,767
165,559,771,772,772,772,772
30,685,773,773,774,774,774
261,556,656,754,785,785,786
184,459,788,788,788,788,788
398,398,603,796,796,796,796
233,573,573,801,801,801,801
313,529,529,803,803,803,803
200,259,351,806,989,989,989
138,380,813,813,813,813,813
187,320,815,815,815,815,816
143,360,816,816,816,816,816
189,331,420,823,940,940,940
252,252,755,831,831,831,831
253,255,748,831,832,832,832
90,313,836,836,836,836,836
398,418,419,837,837,837,837
266,486,608,795,795,795,838
187,206,838,838,838,838,838
97,221,853,853,853,853,853
285,293,573,858,858,858,858
144,146,858,858,859,859,859
92,305,746,860,860,860,860
67,216,860,860,860,860,860
45,227,862,862,862,862,863
132,136,863,863,863,863,863
122,123,867,867,868,868,868
100,105,875,875,876,876,876
62,101,884,884,884,884,884
59,94,886,886,886,886,886
104,110,496,886,995,996,996
59,89,887,887,887,887,887
43,70,894,894,894,894,894
289,358,358,894,894,895,895
53,55,895,895,895,895,895
23,60,900,900,900,900,900
39,41,900,900,901,901,901
32,41,902,902,902,902,902
125,386,561,792,850,921,948
189,313,575,734,924,924,924
178,183,704,746,924,924,924
24,277,626,875,927,927,927
144,301,402,934,934,934,934
84,424,424,849,934,934,934
179,191,569,826,939,939,940
217,231,360,943,944,944,944
250,250,784,784,785,785,945
47,225,673,802,945,945,946
64,443,445,775,952,952,952
81,174,511,954,954,954,955
68,254,634,759,956,956,956
145,294,630,630,961,961,962
295,295,376,719,966,966,966
118,348,501,716,966,967,967
20,131,532,975,975,975,975
166,169,336,978,978,978,978
113,130,424,979,979,979,979
256,265,642,667,795,979,979
80,194,381,982,982,982,982
69,124,458,983,983,983,983
56,173,394,990,990,990,990
36,267,303,994,994,994,995
232,371,497,498,995,995,995
55,316,599,625,996,996,996
18,430,456,457,535,861,913,913
29,102,280,655,669,949,949,950
36,69,96,876,876,876,877,877
37,134,203,353,964,964,964,964
48,191,309,345,922,922,923,923
13,15,50,901,901,901,901,901
3,68,752,752,752,752,752,752
