39,639,9551,9772,9999
42,1991,8868,9438,9661
44,2117,8626,9552,9661
45,1858,8874,9553,9670
45,1994,8743,9553,9665
145,532,9551,9773,9999
149,759,9322,9777,9993
270,1989,8991,9315,9435
272,642,9317,9774,9995
391,3903,8098,8741,8867
397,1853,8992,9320,9438
535,1370,8992,9438,9665
537,1719,9098,9206,9440
537,4873,7996,8226,8368
752,857,8619,9772,10000
857,3433,7627,8992,9091
977,3798,8101,8499,8625
1108,1494,8873,9205,9320
1229,2367,8106,9093,9205
1599,3907,7628,8367,8499
1601,2845,7252,9096,9206
1713,3556,7245,8619,8867
1850,6410,6989,7246,7505
2246,4748,7256,7754,7996
3084,6030,6780,6989,7117
3086,6141,6655,6997,7121
3693,3800,6887,7750,7870
4132,5439,6655,6783,6991
4267,5196,6537,6882,7118
4367,4464,5913,7506,7750
4472,5670,6414,6658,6786
4874,5097,6142,6888,6999
2,271,2114,9092,9204,9317
2,2236,3433,7749,8219,8361
2,2496,3797,7385,8101,8219
4,1228,3799,6884,8992,9093
5,863,1370,7993,9774,9995
6,274,397,9553,9775,9995
7,397,1718,8108,9776,9994
8,985,1237,8002,9778,9990
8,985,4139,7872,8370,8626
9,151,399,9674,9778,9989
10,988,1607,7630,9779,9986
11,46,4030,6146,9781,9986
11,1240,3320,6662,9325,9442
11,1242,2974,7004,9326,9443
12,2257,2736,8115,8374,8506
13,763,1869,8116,9558,9681
13,1120,1247,8376,9561,9683
16,407,1121,9212,9561,9683
17,767,2262,8634,9106,9214
17,1001,1614,8120,9563,9685
18,878,1614,8240,9564,9686
20,1127,2859,8240,8752,9002
24,411,3454,7885,9003,9223
24,1263,2525,7401,9335,9452
25,1264,1619,8757,9112,9223
26,300,1389,8517,9792,9976
26,415,2530,7768,9569,9692
26,1008,2526,7650,9338,9452
27,63,1623,8518,9795,9974
28,661,780,8763,9795,9973
29,417,560,9226,9796,9972
29,419,664,9120,9796,9972
32,175,1627,8898,9573,9695
33,176,562,9461,9798,9970
33,562,1014,9122,9573,9696
34,424,1749,8026,9799,9968
35,177,786,9236,9799,9967
