40268,89786,89811,89832,90303
56744,85760,85762,85765,85969
44024,88810,88813,88825,89528
29183,92612,92651,92660,92894
15143,96060,96079,96095,96623
73033,81187,81199,81208,83373
43260,89020,89209,89212,89299
14839,96201,96309,96319,96332
11322,97076,97079,97083,97440
49154,87500,87531,87536,88279
51776,86721,86722,86727,88054
62285,84386,84397,84464,84468
59050,85079,85088,85132,85651
73283,81529,81531,81546,82111
31870,91877,91882,91885,92486
75733,80933,80944,80951,81439
52043,86979,86980,86997,87001
41776,89261,89263,89276,90424
32460,91863,91866,91899,91912
16308,95770,95871,95908,96143
8273,97608,97618,97628,98873
22852,94009,94020,94023,95096
29658,92418,92429,92434,93061
5060,98577,98578,98649,99136
44818,88785,88792,88800,88805
62940,84011,84013,84020,85016
10686,97152,97158,97162,97842
23353,93985,93987,94002,94673
55597,86031,86111,86122,86139
32062,91739,91760,91761,92678
1023,99718,99731,99733,99795
20569,94693,94698,94707,95333
5073,98469,98473,98534,99451
14690,96220,96223,96227,96640
49668,87408,87438,87440,88046
28165,92937,92946,92969,92983
62037,84354,84357,84359,84893
51194,87096,87116,87132,87462
75878,80873,80877,80888,81484
55165,86040,86044,86094,86657
9341,97562,97567,97580,97950
5855,98431,98454,98574,98686
33721,91326,91399,91404,92150
1143,99617,99655,99673,99912
23803,93929,93939,93964,94365
11737,96840,96843,96855,97725
67965,82902,82929,82941,83263
25730,93302,93311,93320,94337
19506,95056,95060,95061,95317
74179,81269,81295,81313,81944
27747,92973,92977,92982,93321
54518,85994,85999,86007,87482
20820,94628,94629,94649,95274
7488,98047,98055,98065,98345
40116,89650,89652,89655,90927
39856,89385,89408,89425,91926
31675,91996,92001,92011,92317
26464,92788,92793,92795,95160
60385,84711,84725,84728,85451
44569,88828,88849,88862,88892
50182,87212,87259,87265,88082
27828,92629,92630,92648,94265
49220,76867,79058,97419,97436
21634,94427,94436,94440,95063
50423,87149,87185,87186,88057
71661,81953,81971,81976,82439
35364,91100,91130,91147,91259
77324,80494,80600,80602,80980
26843,74419,74428,74452,74460,75398
13192,77264,77265,77277,77282,77720
65278,66800,66802,66806,66818,67496
44681,70993,70996,71001,71059,71270
770,44696,61151,97514,97533,98336
1685,9552,95982,97553,97599,97629
1693,3960,98422,98575,98674,98676
3162,21422,92753,94048,94064,94551
3793,27099,92065,92077,92149,92817
4724,26107,92087,92092,92140,92850
7539,25810,78201,96037,96043,96370
9773,45310,68414,91807,91838,92858
64796,66978,66981,67008,67037,67200
10853,18780,92509,92524,92666,92668
11576,49637,75849,87413,87423,88102
19459,63344,68758,82787,82790,82862
21267,27695,71764,93017,93041,93216
18119,22899,89569,89577,89596,90240
24725,34141,59489,93645,93646,94354
1439,24737,78241,98254,98268,99061
8994,25371,91271,91296,91297,91771
18108,27903,88224,88233,88237,89295
7468,30261,90530,90534,90544,90663
31317,53795,55070,86383,86391,87044
10507,31939,81385,91867,91889,92413
27630,32945,84703,84710,84748,85264
14366,33520,87866,87891,87909,88448
11720,34473,65646,95812,95816,96533
37303,48082,58151,80242,80308,95914
37670,45854,65563,83516,83521,83876
38360,48079,62272,75195,87910,88184
43021,59284,65636,77349,77352,77358
36371,43592,47268,90843,90879,91047
30354,42091,50811,92227,92242,92275
36323,51653,51755,86746,86757,86766
32430,52026,61983,84452,84457,84652
29720,53724,65634,83402,83464,84056
33208,39918,56540,89746,89750,90838
26394,57103,59153,85585,85597,86168
24952,59070,60204,85155,85162,85457
31678,43455,61035,79548,91991,92293
27965,29915,64969,92361,92381,92409
20072,64461,64997,83477,83485,83508
13551,38507,65253,94114,94124,94451
24836,34358,67223,91189,91191,91203
3385,67726,76835,82959,83390,85705
16801,54482,69474,86345,86350,86548
4906,69849,77552,82541,82543,82609
10999,24716,72500,97187,97215,97383
18550,63189,72681,81741,81801,82038
48213,70210,70217,70228,70338,70794
46672,70506,70703,70704,70707,70708
7613,73653,73658,73677,74729,96670
11654,58062,76827,84000,84010,85447
1656,21929,77629,99538,99561,99687
40630,46957,55140,78281,89490,89502
14818,27040,78410,93242,93244,93246
18183,47454,79310,84509,84519,86025
40059,59962,59965,79995,80001,80018
12173,30107,80296,92465,92476,92483
23780,56121,79627,79899,79918,80655
13225,67106,78321,80334,80344,80670
25725,54998,76483,80679,80692,81423
23896,57169,75669,81079,81080,81107
34764,45500,78098,80263,80266,81109
17056,64945,74527,81145,81156,81171
16447,39749,70106,81563,95668,96467
25178,47348,81828,81829,81830,81987
7667,69819,74831,82483,82532,82668
14840,68012,68740,82781,82810,82817
55725,68476,68479,68482,68486,70352
56447,68528,68531,68541,68545,69408
5721,59060,59084,82489,96429,97217
1935,71208,79444,82132,82226,83055
15180,60593,66321,83130,84271,90505
39642,44638,66062,83191,83221,83246
7342,54937,84214,84229,84242,85036
19725,41119,83195,83218,84335,88408
22555,56561,63265,85825,85891,85903
13759,43919,85294,85296,85304,86428
17369,51533,70460,86873,86879,86886
43163,43190,53969,86362,86402,86914
28973,51063,57954,86942,86973,88095
21359,48598,66395,87748,87802,88098
16180,44689,72477,88656,88677,89321
5256,22143,88949,94193,94202,95257
38050,44701,50603,88655,88682,89309
13601,25926,89977,89981,89989,90526
27249,43141,61646,88898,88903,90163
33637,42367,67903,76772,89152,90169
16199,22157,90251,90253,90258,90882
27101,74379,74383,74387,74389,75361
5621,31567,90638,90639,90652,90883
18149,18548,90700,90702,90720,91181
14713,34948,76456,91162,91171,91550
20047,29860,73084,92323,92336,92350
15972,48503,54180,93466,93469,94410
10558,14620,93484,93496,93498,94344
12699,12861,93434,93509,93524,93973
23628,33117,60964,94069,94072,94150
22705,28714,65452,94226,94232,94671
23076,24920,66098,95285,95290,95331
18136,46158,49210,95355,95381,95760
5285,10816,95775,95826,95847,96451
3747,12475,95855,95858,95869,96196
16159,46767,49164,95957,95975,95978
11793,41838,54952,96759,96792,97866
1816,10620,96747,96896,96899,97022
17077,45383,79649,80059,80126,97706
16963,33874,54111,98102,98104,98846
16009,41734,44710,99160,99164,99223
682,48019,51820,99814,99815,99850
49,220,2499,99246,99258,99260,99468
979,31194,35554,72688,72700,93337,93548
2498,18474,65051,65363,81428,83581,83605
1357,4160,24968,92101,92108,92124,93182
46,4325,48680,50117,98712,98721,99399
2171,65746,65979,66404,66518,66527,66655
5191,10407,72330,77506,77511,77514,79541
1213,6305,10905,94257,95473,95482,96365
7358,34854,45022,77950,78264,78275,78277
7400,14210,53592,77125,80616,80618,86439
8149,10797,22210,89443,89453,89504,90444
430,5416,10149,88173,98317,98321,99194
11508,19969,57907,77601,77641,77681,77693
11586,13817,19133,64270,97052,97067,97075
