3395,7086,90526,97220,99522
5182,21955,85265,92413,92934
8864,13097,88302,93466,94020
9088,20363,83068,92373,92857
18137,25178,73090,90334,91010
23737,44024,72635,78453,78900
26975,38715,76720,77264,78075
45873,61315,61962,63671,64928
46,51720,55728,58020,63993,68242
53,34411,60744,67073,67570,67898
74,50241,56826,60966,63002,66640
78,46275,54065,65636,65754,65941
85,50549,55661,58344,60203,72907
88,43919,54953,55165,71506,72118
107,49162,61416,62161,62314,62589
109,45975,56561,61481,64695,68928
120,40349,62358,64796,64959,65167
122,23846,66802,67860,69288,69831
124,54508,55875,57824,59957,69461
132,49766,57954,63001,63344,63552
151,48700,59928,62231,62707,64032
152,35835,64138,65565,65698,66361
156,50217,59561,62340,62559,62916
158,31374,52428,70826,71479,71484
169,34980,62948,66145,66641,66866
177,47573,51199,62251,66685,69864
186,54114,57182,59308,60088,66871
191,43425,58166,61680,66419,67868
197,45364,56913,64798,65070,65407
212,43789,50442,67429,67865,68012
214,47732,56479,60596,64315,68413
220,45168,57947,59909,65085,69420
234,25506,65891,68103,68414,69601
242,3079,47615,74239,85257,87317
245,45514,57668,61840,63217,69265
255,58146,58286,58457,58841,63764
269,51277,54814,61046,62601,67742
274,982,3140,94193,99160,100000
289,14748,18865,77681,92967,93199
324,6167,22464,85162,91615,92017
329,48109,59273,60386,63125,66527
340,53208,55451,57233,64860,66657
342,42422,54262,63328,66833,70562
351,8752,22174,78647,93496,94329
358,13215,18500,73792,95703,96181
366,2290,15043,89981,94629,95440
367,5915,14766,81007,97533,98161
371,4724,14210,85291,96406,96747
392,6033,24737,80021,92983,93583
397,48214,50603,62392,66105,70038
419,55726,57127,60139,61928,62410
421,4432,25064,80216,93593,94023
430,9715,13754,80260,96647,96943
431,52306,52929,61645,63469,66969
443,4035,13355,86275,96370,97271
447,1301,2499,95257,98431,99814
453,54482,58093,58899,62380,63442
460,9276,25744,68384,96558,97327
467,3506,12938,89543,95317,95978
472,4969,19616,81743,95285,95664
475,10227,15394,79268,95869,96516
490,47989,52481,64652,65733,66404
498,45259,55504,57640,68196,70652
508,24418,35864,62048,87336,87575
531,10452,17467,78886,94855,95558
532,42911,58340,60776,65472,69718
539,12920,17137,82641,91912,92600
547,7046,20696,81531,93662,94267
548,1238,7216,92219,97562,98966
573,2555,24297,72882,98422,99020
580,2139,11673,84214,99293,99850
606,3518,5703,91985,97683,98254
616,2558,7065,91534,97752,98224
622,3401,20720,87325,92469,93212
