91623,98657,98658,99020
89933,99258,99260,99507
95978,97220,97227,97533
906,96717,96724,96726,96885
53943,83246,83255,83263,84251
19142,92101,92108,92150,92457
27224,90160,90163,90169,90242
3821,93337,96124,97162,97514
34510,57548,98096,98100,99704
39273,67525,86322,97024,97814
33974,88340,88356,88362,88926
25730,73792,89261,99558,99617
32942,64497,95464,97416,97639
25080,73144,93221,98192,98321
14538,77131,98676,98686,98927
1237,77242,77246,77286,77306,77641
6978,9341,87607,94476,94551,95005
7645,53781,75969,83509,83525,83529
19373,60028,69471,79379,79400,80307
54857,66418,66419,66449,66476,67339
22174,47289,51028,76386,92808,98273
26924,45098,45138,90225,90230,90343
16131,34391,61598,76635,99588,99615
10017,37067,50192,95636,97275,97771
12861,41854,69813,87765,87774,87891
4544,45530,49875,92828,97366,97815
23185,50811,50833,87408,87413,88308
22833,50865,64370,74729,77778,97383
17739,54998,59561,64430,94483,96747
880,64019,64186,85695,86573,86605
5546,73041,73183,78581,78608,78999
13171,35862,74747,87909,87990,88279
16540,45719,81313,81316,81333,81737
38802,43555,58205,82380,82489,82527
25527,26394,82498,82516,83750,87273
12516,18097,89276,89307,89309,89453
7476,17877,81141,90580,91877,99007
20134,20377,71383,91731,91739,92594
15348,36883,56090,92969,92990,93678
638,7779,94847,94849,94855,94990
2523,39377,58689,93680,95545,98144
367,5855,95067,95408,95414,95847
21583,47356,60477,71216,91271,96055
775,48304,48313,96611,96612,97343
2253,18793,76248,95153,97409,98102
26859,43441,49210,72187,98130,98131
16704,38405,60593,81921,91668,98667
43954,47109,49386,49820,98843,98846
25911,30989,42521,90009,99235,99293
12723,14983,61327,99572,99584,99769
152,2973,25313,78597,91483,91501,97939
2092,27497,32224,36598,96332,96341,96874
3152,28712,36928,59459,85008,87259,87440
3591,19989,40670,58887,85162,88321,91338
4210,29677,32310,63559,66254,95911,96037
4760,47579,49993,53173,59842,77157,95454
5105,29486,30930,31770,96699,96705,97263
6425,36248,38873,61646,81502,81516,81748
6445,19149,66821,73206,73218,73270,75849
6731,40868,57356,57359,59168,68432,98044
9946,30633,33634,47889,88460,88473,88923
9705,10944,44701,54230,89408,89427,89543
11583,17356,41901,46272,70973,99923,99950
13790,27293,47158,51285,79235,80405,88792
14121,15371,35864,56292,75455,92217,98638
15609,21245,37749,58160,63416,95871,95908
15646,42405,44953,56933,57606,84710,85705
13219,15980,30104,70019,85985,85994,86657
16117,23666,24196,50580,90885,90890,91624
16530,18004,29287,30808,97683,97706,97940
18250,27325,33220,56962,71990,89989,90222
18466,21911,25980,73192,75398,78988,94023
19411,35084,40029,49366,77542,83221,83305
14092,20363,30981,52998,77847,91882,99795
9204,14393,20696,77984,84483,86631,94567
16145,20720,42552,57729,60336,91899,98577
20879,39301,41608,48734,74351,81208,81877
23019,44394,47839,51482,62344,66229,92651
24091,24515,32228,62707,71499,86441,86477
24900,31553,51421,55479,55493,76310,92802
22087,24725,25292,53723,71059,95141,95931
16629,25650,44734,50658,60518,90575,99194
26569,31271,36965,66098,69114,74239,83702
4495,9656,26755,72389,87132,88485,99046
21630,27797,43592,45428,74846,74851,99814
25093,28591,44516,62804,70574,72500,83880
28616,28617,28644,44838,85626,85726,85891
9013,24161,28892,66943,78294,82338,98317
10709,28920,38662,41565,86058,90897,91147
28961,29919,30587,30768,84957,88095,94671
