10283,36329,63486,79235,87909,98130,98131,98144,98161,98172,98184
12509,34830,61887,84000,93279,96467,96579,96586,96587,96716,96724
20317,30104,68474,76877,78262,98575,98577,98610,98617,98619,99132
10247,48441,72631,72761,88021,89307,96922,96924,96943,96954,97013
7086,38343,90882,90883,90885,90890,90893,90897,90927,90936,93542
25724,46963,49745,70899,92973,96611,96612,96617,96621,96640,96759
24131,29660,40660,61840,69408,91473,91477,91483,91501,91507,91511,91513
18319,25283,26843,60802,69673,85115,96510,96514,96553,96554,96558,97440
53,21683,35441,37522,91996,96647,96665,96670,96675,96699,97456,98657
10114,19986,48994,48996,78045,81179,87918,98044,98047,98055,98065,98721
10145,19731,47955,47972,49406,58841,68283,93822,93825,94023,94048,94056,94057
20072,21085,25730,38277,47179,67223,71853,78161,99230,99235,99242,99260,99617
28296,28320,32677,42464,49480,49581,73088,82725,82733,99020,99046,99119,99615
1253,3465,21700,55415,68324,86757,88849,89780,90047,90060,90076,90217,90221
49,28990,29834,41827,47289,59283,60090,61416,89074,89118,89128,89143,89152,91771
16331,16619,25094,26847,30931,48160,51690,73081,83581,94193,99839,99923,99933,99942
16540,19106,22636,37691,39256,54327,55934,67204,84357,93570,93593,93613,93630,94707
1499,12978,19083,27610,31882,47101,62505,85011,90587,97553,97562,97567,97608,97618
10011,13362,32259,49154,49669,68376,71374,81217,81253,81361,81396,81516,81739,83477
9311,12021,16078,21955,39434,50575,67403,82333,94332,94337,94365,94378,94392,95250
10812,21072,33898,50388,52925,57041,61983,66518,76167,86942,86980,86997,87001,87440
3639,7779,35897,41886,74163,77757,77768,77771,77778,77780,77786,77789,77799,80572
13278,23902,28385,32289,51755,61261,80122,80126,80147,80149,80168,80183,83614,90785
8146,21642,37361,39072,45239,49609,64118,67003,77974,80334,81109,98104,98224,98229
14847,25080,29633,37188,46514,56604,81528,81529,81531,81546,81680,81700,81737,85047
22297,29841,30633,31190,32929,52672,83042,83246,83255,83263,83372,83373,83390,83661
28784,28902,39643,40219,42608,44728,57314,58415,87318,87325,87326,87328,87351,88903
12187,27741,32897,34510,48374,53802,55422,70026,88300,88305,88308,88316,88321,89655
2238,20130,29233,37719,40263,47645,60550,76441,91877,91882,92025,92044,92058,92059
6515,13266,18012,23499,31755,56162,67432,78192,82955,92486,98948,98966,98978,98998
10816,19848,31572,32226,45957,52060,60609,62816,75158,94990,95005,95017,95041,95049
18818,21588,25858,28961,38578,54114,56830,66407,76587,95381,95404,95414,95434,96790
6538,15868,31514,33476,48404,51221,54991,62567,85778,89465,96004,96037,96051,98250
5750,16662,24960,32001,33511,44442,64299,73051,81007,97815,97819,97841,97842,99164
4882,19343,23821,24322,41437,43380,58835,75297,77051,99420,99451,99468,99507,99950
1483,15404,25494,32923,35049,46272,51575,53278,85155,85188,86575,86605,86631,86804,87728
5690,6223,6312,11187,28433,46887,49875,57907,84537,86453,96523,96524,96527,96535,96551
5354,14771,17196,44738,58583,59109,61954,67985,73293,73329,73344,73365,73368,73390,96385
8147,13787,17766,26775,29218,33810,58314,62922,74383,78305,92087,92101,92108,92217,94224
13771,15034,18780,23466,46594,63212,63228,64471,79475,79480,79509,79531,79541,79545,80527
11196,32438,34528,40975,41073,41824,45648,50241,54227,80491,86685,86698,86704,86714,86722
7121,22913,28567,36424,39523,45750,50084,52267,62035,70398,84748,91548,91551,91615,91620
1530,21814,25741,39516,46806,47784,47819,54974,60543,86114,86120,86245,86258,86313,88587
3322,6306,18550,19279,21086,55438,60596,60699,65205,88302,91623,91668,91673,95562,96855
2523,6406,7547,11484,42911,47402,48527,53270,70520,95742,95760,95770,95920,95931,96451
20350,23473,26464,29578,30973,43164,44983,45897,50043,54416,99194,99293,99355,99393,99588
2282,12201,15515,21592,27531,36901,47573,53974,54632,83119,84400,84452,84456,84468,84473,88595
8503,10350,13880,17480,22869,25716,61420,64751,68361,76209,82219,82226,82243,82258,82271,85408
18793,19257,20279,24725,26569,36520,39607,40719,47011,51008,58675,96365,96392,96399,96429,97416
1298,26097,26231,26550,29634,39098,39223,44689,65306,78359,78367,78453,78758,78770,80074,95257
8906,21159,28186,30444,37096,43425,43581,54092,56297,57256,63240,84397,84509,84519,84524,84533
2644,10984,22387,24849,27696,31668,36334,57755,68963,72708,83686,83702,83736,83750,83752,91550
8441,14548,19796,28630,37534,37674,38937,45181,47477,57876,88057,88103,88115,88142,88145,89508
4320,12934,23846,29024,30643,40118,43406,46785,50237,83525,83529,83533,83535,83557,83567,83605
5779,19266,27820,32982,34975,43620,45620,46991,59315,78348,78551,78558,78577,78578,78587,78597
5796,8577,15974,18470,27835,29913,44701,45710,54211,65452,91259,91380,91404,91424,91429,92629
2612,16120,20850,22657,28817,32414,40059,45045,60966,64503,75878,76295,93322,93337,93377,99912
6182,8388,13218,23769,34686,41271,45259,49766,56178,62487,63416,91003,91010,91047,91065,97419
11583,12984,18592,18812,24425,44292,48079,52400,60879,66657,66672,85279,85294,85296,85520,99400
3338,8631,21653,24717,27708,52895,53018,55753,56046,72118,80692,80723,80728,80768,80806,86570
186,10148,29110,30388,30529,36104,50255,58743,59911,60796,60973,68894,91798,92756,92785,92788
6848,16202,18486,30831,33012,43050,60154,69047,69059,69249,69258,69266,69288,74078,74334,94002
2655,9591,12811,13661,24783,25110,40425,52995,55963,80636,83469,90747,93284,93298,93302,93434
5721,20327,31316,32276,35873,40692,41290,45168,45283,50656,61928,82543,82740,94441,97656,98254
5408,9078,13806,18475,29831,42509,43455,56121,67151,72133,76891,85903,85985,85994,85999,87425
197,21712,23796,25839,31160,40595,42544,45861,45900,60564,69825,91469,91472,91731,91739,91760
7403,8149,11618,16131,22006,25119,29323,55970,68880,69855,78175,94267,94284,94311,94329,96344
2171,4834,10740,29702,34261,36539,49741,56784,57185,59369,65746,74141,95909,95911,95914,97217
13326,19419,20038,20060,28274,36088,40277,43613,44184,45849,76242,93832,96220,96223,96232,96287
6167,6422,12068,25731,31209,32903,41218,48535,58466,68503,68541,73924,93282,99687,99700,99808
1869,12235,15972,19909,22063,22592,32224,38863,49990,50865,67344,75274,75969,92317,94081,95612,98985
3499,9900,10274,15108,16260,34193,42590,54599,54937,60464,62341,68528,71370,87144,89385,90326,95246
1149,3558,3623,17510,30603,35771,43544,45873,58166,60640,68982,69318,75032,85102,85138,89209,92946
4054,9822,23504,27111,33650,34852,40225,46092,53855,54107,62695,75503,76897,80873,80929,80980,81015
4436,12897,13214,24477,27099,28616,29609,50155,50167,55683,62279,69436,79505,84711,86873,88340,98667
5140,14931,31445,32263,35023,35963,36066,49393,51699,53487,59407,69031,76248,77392,77410,77457,83809
7045,9901,18436,25735,31061,31270,39372,52678,58151,64778,74676,74686,74689,74723,74728,76529,77706
682,3227,4531,10434,21473,31088,34326,46798,55339,63180,72724,74851,87185,87206,87212,87259,98649
430,14713,16702,22379,27730,32228,40491,42791,50603,54465,58878,68914,70411,80744,92476,94770,97439
74,8551,8794,15285,26498,27857,68384,68413,71157,71174,71175,71181,71208,71209,71222,71301,72681
10332,15779,26438,28576,29287,36229,40709,47889,55327,56244,70352,73598,73599,73653,73677,74367,80108
67,5822,16249,19665,24002,33220,38012,43210,49820,57031,68132,73813,87017,87045,87072,87075,88912
6238,11239,17077,20855,32779,34788,51555,51642,52014,52598,52685,61694,74763,74889,81786,93859,95703
13729,19335,19751,22237,25311,33247,33341,42408,45267,45384,48523,63055,83221,89989,90639,92934,97793
1418,15180,18532,20134,21063,35660,42381,48360,49366,49839,56117,57923,88338,89677,90700,90737,90739
2518,3764,5062,20257,28241,28455,31661,37578,41110,61997,69178,72677,77455,95440,95448,95473,99850
10488,10979,16264,17100,22842,25744,30220,32945,42934,50217,66062,71872,79204,97263,97275,97372,97383
5764,9735,14746,24045,24334,24800,30143,53672,56052,59168,69609,70524,75217,75271,89729,90222,93133
3155,5361,13097,20685,24883,29130,33809,53327,54249,57924,65407,73979,74073,80146,90544,92413,93982
9946,15413,19685,29246,32015,38974,42264,42421,67989,68012,68019,68196,68199,68205,68215,68235,91130
12170,25997,30059,30981,34176,40456,41530,48985,51962,56096,56677,56691,59205,65928,81126,82934,91191
191,17779,22265,27224,34330,37537,39420,44551,45424,61121,70864,74387,75478,78878,78902,78905,78908
2986,13002,15674,21075,27724,27899,34653,42093,46681,47304,71122,71345,76550,82483,94597,94628,96348
3191,7697,14670,17890,20898,28484,35496,37745,42276,57326,66160,79000,80616,93673,93678,93680,93684
177,9025,14390,19610,34611,36045,39576,49302,50192,54594,65591,74951,75330,76633,78214,90240,97683
7235,14880,23208,30853,31678,32118,36753,43099,45098,47308,59278,62384,70208,77306,90133,97282,97343
19537,23270,29389,37470,37952,39445,47239,48301,48598,56702,56891,58286,58640,63096,64296,82902,94150
12405,17965,19431,21003,22271,25687,26748,28210,38088,59973,64997,77938,83827,90393,90426,92793,94009
1585,2334,12535,19381,27040,32460,41337,47580,57712,63607,64495,64782,67093,68928,98410,98431,98454
6565,8701,18832,28622,28749,41806,45036,48041,51617,51648,53931,54548,76662,77315,82193,95702,96196
718,13219,20039,24405,33117,41873,41946,42732,47637,57103,62022,64889,77959,78931,79940,86009,93625
6286,12594,24685,28514,34441,34499,37749,39699,45362,46465,46705,61918,79051,88171,92894,93311,93820
15200,19511,20631,22694,24909,34587,43947,46318,46566,47048,57124,60111,74552,81800,88099,90843,92224
3372,10709,17007,19969,21227,25719,38222,47100,47808,65446,67961,70415,72214,88937,89177,89652,91229
7768,11986,12691,13189,31290,41533,48325,50502,62518,65513,69192,69243,71246,71259,71263,71280,97366
7744,19985,23377,44435,49597,49657,50277,55957,56029,57954,58066,58093,60132,63908,65181,70926,74846
2139,6208,18309,20381,35257,37075,42500,50594,51375,56888,66001,67251,74879,84303,84318,84335,84351
14896,19195,28984,31638,37170,39094,40339,40405,42116,47709,50899,55005,72061,79629,84106,85642,97276
5580,9417,9705,14034,18684,27920,31513,50111,51737,54740,73058,78540,87943,87976,88173,88261,88772
4372,4697,8377,8752,21481,36298,50211,51774,56992,57824,69265,73741,80810,80877,80888,81022,98783
11622,12133,14690,18730,21352,27324,34132,48754,57052,57922,60028,70400,80264,80287,80301,92293,98880
5011,31051,31636,38046,38507,43137,49778,50265,54038,57129,57926,57975,57976,63581,67269,67794,95045
421,3208,13403,19441,21328,27773,39888,58531,61028,63830,65142,69900,70993,75761,89309,91537,94671
7336,11586,15910,22860,28536,38703,51133,51856,56959,56985,58654,66254,66640,68648,72820,95405,95879
15866,20820,31730,31757,47507,47620,52606,52609,58672,62233,63500,63510,63540,63541,63546,63549,63558
4544,4724,5716,14588,19686,21161,45500,50601,50811,59845,59961,75620,77506,79893,98658,98674,98676
5084,26674,26711,28712,31870,33533,53581,53673,53775,53790,56090,59243,59879,64263,74075,88312,96899
9806,17005,21494,25980,29632,32808,34764,46011,55165,60481,65230,68424,72727,78808,78863,80068,88898
842,3082,3353,34397,43140,46932,48990,52841,56346,57275,60593,60651,60697,67972,85651,91690,91712
419,1444,11900,13242,19049,23244,55451,55938,61237,61680,61683,64989,74729,85841,89878,92219,93221
2107,16484,16704,17609,17811,24418,46284,54123,59060,60002,61913,61940,69674,87273,90251,90253,90258
4921,10818,12102,22588,28617,40882,40901,41109,50480,58336,63552,81781,81987,81998,82001,82038,82053
3628,21472,23129,26251,30892,32829,33509,51127,56439,62358,64138,72170,72187,72447,78152,79268,86168
212,18137,20767,22073,32310,32468,32921,33721,46888,59346,64193,66978,69787,85565,86511,96095,98192
3058,19808,25903,26646,33702,34105,39095,46074,59006,64083,64095,64136,67670,69160,77346,85264,87013
5989,12053,23726,28051,28143,30158,47009,47097,47456,51539,69567,71785,76617,76731,76743,76772,96728
8508,11041,25877,34402,36608,42060,44681,46450,53590,54262,65067,70992,70996,71033,71058,71059,88480
